State,Wiki_name_long,Wiki_name,Station Identifier,Channel Number,AM/FM,Dataset,Link
Arizona,"Phoenix, Arizona",Phoenix,KJZZ,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arizona,"Prescott, Arizona",Prescott,KNAQ,89.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arizona,"Show Low, Arizona",Show Low,KNAA,90.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arizona,"Tucson, Arizona",Tucson,KUAT,90.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arizona,"Tucson, Arizona",Tucson,KUAZ,1550,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arizona,"Tucson, Arizona",Tucson,KUAZ,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arizona,"White River, Arizona",White River,KNNB,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arizona,"Yuma, Arizona",Yuma,KAWC,88.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arizona,"Yuma, Arizona",Yuma,KOFA,1320,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arkansas,"El Dorado, Arkansas",El Dorado,KBSA,90.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arkansas,"Fayetteville, Arkansas",Fayetteville,KUAF,91.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arkansas,"Jonesboro, Arkansas",Jonesboro,KASU,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arkansas,"Little Rock, Arkansas",Little Rock,KLRE,90.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Arkansas,"Little Rock, Arkansas",Little Rock,KUAR,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Angwin, California",Angwin,KDFC,89.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Arcata, California",Arcata,KHSU,90.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Bakersfield, California",Bakersfield,KPRX,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Bayside, California",Bayside,KNHM,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Burney, California",Burney,KNCA,89.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Calexico, California",Calexico,KQVO,97.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Chico, California",Chico,KCHO,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Coachella, California",Coachella,KVLA,90.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Crescent City, California",Crescent City,KHSR,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Fresno, California",Fresno,KVPR,89.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Groveland, California",Groveland,KXSR,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Indio, California",Indio,KCRI,89.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
