Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
769,Idaho,,McCall,KBSK,FM,89.9,None,,Twitter,right_only,Emptyatload
770,Idaho,,McCall,KBSQ,FM,90.7,None,,Twitter,right_only,Emptyatload
771,Idaho,,Sun Valley,KBSS,FM,91.1,None,,Twitter,right_only,Emptyatload
772,Idaho,,Sun Valley,KWRV,FM,91.9,None,,Twitter,right_only,Emptyatload
773,Idaho,,Twin Falls,KEZJ,AM,1450,None,,Twitter,right_only,Emptyatload
774,Illinois,,Elgin,WEPS,FM,88.9,None,,Twitter,right_only,Emptyatload
775,Illinois,,Galesburg,WVKC,FM,90.7,@TheWVKC,,Twitter,right_only,Emptyatload
776,Illinois,,Glen Ellyn,WDCB,FM,90.9,@WDCBnews,,Twitter,right_only,Emptyatload
777,Illinois,,Kankakee,WBEK,FM,91.1,None,,Twitter,right_only,Emptyatload
778,Illinois,,Morris,WBEQ,FM,90.7,None,,Twitter,right_only,Emptyatload
779,Illinois,,Urbana,WILL,AM,90.9,@willpublicmedia,,Twitter,right_only,Emptyatload
780,Indiana,,Chestertown,WBEW,FM,89.5,None,,Twitter,right_only,Emptyatload
781,Indiana,,Crawfordsville,WNDY,FM,91.3,None,,Twitter,right_only,Emptyatload
782,Indiana,,Fort Wayne,WBOI,FM,89.1,@WBOI,,Twitter,right_only,Emptyatload
783,Indiana,,Franklin,WFCI,FM,89.5,None,,Twitter,right_only,Emptyatload
784,Indiana,,Gary,WGVE,FM,88.7,None,,Twitter,right_only,Emptyatload
785,Indiana,,Lowell,WLPR,FM,89.1,@WLPR891,,Twitter,right_only,Emptyatload
786,Indiana,,Roanoke,WBNI,FM,94.1,None,,Twitter,right_only,Emptyatload
787,Indiana,,Vincennes,WVUB,FM,91.1,@WVUB,,Twitter,right_only,Emptyatload
788,Iowa,,Bettendorf,KNSB,FM,91.1,None,,Twitter,right_only,Emptyatload
789,Iowa,,Carroll,KNSC,FM,90.7,None,,Twitter,right_only,Emptyatload
790,Iowa,,Cedar Falls,KHKE,FM,89.5,None,,Twitter,right_only,Emptyatload
791,Iowa,,Council Bluffs,KIWR,FM,89.7,None,,Twitter,right_only,Emptyatload
792,Iowa,,Decorah,KLCD,FM,89.5,None,,Twitter,right_only,Emptyatload
793,Iowa,,Dubuque,KNSY,FM,89.7,None,,Twitter,right_only,Emptyatload
794,Iowa,,Fort Dodge,KNSK,FM,91.1,None,,Twitter,right_only,Emptyatload
795,Iowa,,Lamoni,KNSL,FM,97.9,None,,Twitter,right_only,Emptyatload
796,Iowa,,Mason City,KNSM,FM,91.5,None,,Twitter,right_only,Emptyatload
797,Iowa,,Mitchellville,KICJ,FM,88.9,None,,Twitter,right_only,Emptyatload
798,Iowa,,Okoboji,KOJI,FM,90.7,@kwitkoji,,Twitter,right_only,Emptyatload
799,Iowa,,Ottumwa,KNSZ,FM,89.1,@Ottumwa_Radio,,Twitter,right_only,Emptyatload
800,Iowa,,Ottumwa,KICW,FM,91.1,@kicwtv,,Twitter,right_only,Emptyatload
801,Iowa,,Patterson,KICP,FM,105.9,@iowapublicradio,,Twitter,right_only,Emptyatload
802,Iowa,,Pleasantville,KICL,FM,96.3,@iowapublicradio,,Twitter,right_only,Emptyatload
803,Iowa,,Waterloo,KBBG,FM,88.1,@kbbgradio,,Twitter,right_only,Emptyatload
804,Kansas,,Chanute,KANQ,FM,90.3,@kprnews,,Twitter,right_only,Emptyatload
805,Kansas,,Hays,KZAN,FM,91.7,@hppr,,Twitter,right_only,Emptyatload
806,Kansas,,Olsburg,KANV,FM,91.3,@kprnews,,Twitter,right_only,Emptyatload
807,Kentucky,,Corbin,WEKF,FM,88.5,None,,Twitter,right_only,Emptyatload
808,Kentucky,,Louisville,WUOL,FM,90.5,@wuol,,Twitter,right_only,Emptyatload
809,Louisiana,,Alexandria,KLSA,FM,90.7,@rrrpublicradio,,Twitter,right_only,Emptyatload
810,Louisiana,,Baton Rouge,WBRH,FM,90.3,None,,Twitter,right_only,Emptyatload
811,Louisiana,,Baton Rouge,WRKF,FM,89.3,@wrkf,,Twitter,right_only,Emptyatload
812,Louisiana,,Hammond,KSLU,FM,90.9,@kslutwitter,,Twitter,right_only,Emptyatload
813,Louisiana,,Lafayette,KRVS,FM,88.7,@krvsmedia,,Twitter,right_only,Emptyatload
