FIPS,Count
06037,8
25001,6
41029,5
27137,5
08031,5
27109,4
09001,4
06083,4
36029,4
42003,4
41039,4
17019,4
32003,4
06065,3
25025,3
36013,3
08045,3
47037,3
12005,3
51710,3
06067,3
13121,3
06111,3
36061,3
06075,3
16001,3
26065,3
21111,3
55025,3
36055,3
39049,3
49035,3
27031,3
04005,3
36103,3
27053,3
22033,3
42101,3
27013,2
48485,2
12073,2
37107,2
12086,2
12095,2
37067,2
26081,2
27007,2
22055,2
48201,2
37065,2
48441,2
37049,2
13021,2
48135,2
26161,2
27027,2
41035,2
48061,2
15003,2
48113,2
41051,2
41007,2
19179,2
19169,2
42043,2
39061,2
19103,2
19013,2
18157,2
44009,2
39009,2
22073,2
18039,2
25009,2
18003,2
17201,2
25017,2
46099,2
25027,2
47065,2
22071,2
37183,2
37119,2
26055,2
40143,2
48041,2
22079,2
49005,2
12057,2
55031,2
06079,2
28105,2
06071,2
29019,2
54039,2
06053,2
06045,2
06029,2
36019,2
55009,2
55029,2
11001,2
04027,2
55033,2
04019,2
04013,2
36007,2
02261,2
55073,2
55079,2
02185,2
02122,2
30031,2
35001,2
02020,2
01101,2
01089,2
72127,2
36033,2
22017,2
27145,2
27113,2
08085,2
36069,2
10001,2
27123,2
08101,2
36067,2
08067,2
27151,2
09009,2
27111,2
36089,2
08029,2
36065,2
28049,2
53033,2
35031,1
39113,1
39087,1
39095,1
35025,1
36093,1
39099,1
35041,1
37113,1
39117,1
35013,1
37031,1
39059,1
39133,1
34041,1
34025,1
39169,1
34013,1
37021,1
39139,1
33013,1
33005,1
36109,1
35053,1
39035,1
36001,1
38035,1
36059,1
37129,1
37135,1
37139,1
37161,1
38015,1
36027,1
37063,1
37055,1
38017,1
38079,1
39057,1
37051,1
36009,1
38089,1
38093,1
38105,1
36003,1
39017,1
36053,1
36075,1
39055,1
36105,1
45051,1
40027,1
40031,1
53041,1
53005,1
51770,1
51760,1
51173,1
51147,1
51121,1
51091,1
51017,1
50027,1
50007,1
50003,1
50001,1
49053,1
49043,1
49041,1
49007,1
48473,1
48469,1
48453,1
48451,1
48423,1
48415,1
53053,1
53063,1
53067,1
55113,1
66010,1
56039,1
56025,1
56023,1
56019,1
56005,1
56001,1
55139,1
55133,1
55117,1
55099,1
53071,1
55093,1
55085,1
55063,1
55049,1
55035,1
54081,1
54075,1
54061,1
54003,1
53073,1
48377,1
48375,1
48355,1
42027,1
45019,1
45013,1
45003,1
44007,1
44003,1
42083,1
42081,1
42077,1
42069,1
42049,1
42021,1
32031,1
41057,1
41041,1
41019,1
41017,1
41011,1
41003,1
40153,1
40119,1
40065,1
40035,1
45045,1
45075,1
48303,1
48005,1
48299,1
48265,1
48245,1
48231,1
48195,1
48181,1
48143,1
48141,1
48121,1
48029,1
47179,1
45079,1
47157,1
47149,1
47141,1
47113,1
47093,1
46129,1
46103,1
46027,1
45091,1
45085,1
33003,1
01015,1
32007,1
09007,1
13245,1
13215,1
13213,1
13199,1
13187,1
13185,1
13137,1
13127,1
13115,1
13095,1
13061,1
13059,1
13051,1
12115,1
12111,1
12099,1
12071,1
12033,1
12031,1
12017,1
12009,1
12001,1
09015,1
13277,1
13299,1
16021,1
17113,1
18075,1
18053,1
18035,1
17195,1
17167,1
17161,1
17159,1
17149,1
17143,1
17119,1
17109,1
16057,1
17099,1
17095,1
17081,1
17077,1
17043,1
17037,1
17031,1
16085,1
16083,1
16065,1
09011,1
09005,1
31109,1
08123,1
05119,1
05031,1
04025,1
04017,1
02290,1
02275,1
02220,1
02195,1
02170,1
02150,1
02130,1
02110,1
02100,1
02090,1
02070,1
02050,1
02016,1
01125,1
01097,1
01073,1
01069,1
01055,1
01047,1
05143,1
06007,1
06019,1
06101,1
08113,1
08107,1
08097,1
08083,1
08069,1
08051,1
08041,1
08037,1
08013,1
08003,1
06097,1
06023,1
06093,1
06089,1
06087,1
06081,1
06077,1
06073,1
06063,1
06061,1
06055,1
06025,1
18083,1
18089,1
18095,1
18097,1
27115,1
01033,1
27105,1
27103,1
27099,1
27071,1
27061,1
27055,1
27035,1
26163,1
26139,1
26103,1
26101,1
26077,1
26073,1
26061,1
26049,1
26047,1
26033,1
26031,1
26021,1
26017,1
26007,1
27127,1
27131,1
28037,1
29147,1
31055,1
31001,1
30111,1
30063,1
30049,1
30041,1
30029,1
29510,1
29213,1
29161,1
29117,1
28047,1
29101,1
29095,1
29091,1
29077,1
29031,1
28117,1
28093,1
28075,1
28071,1
28063,1
25015,1
25013,1
25011,1
20045,1
21035,1
20173,1
20169,1
20155,1
20149,1
20133,1
20111,1
20065,1
20055,1
20051,1
20037,1
21067,1
19193,1
19125,1
19121,1
19113,1
19059,1
19033,1
18177,1
18163,1
18151,1
18105,1
21037,1
21093,1
25005,1
23019,1
25003,1
24510,1
24047,1
24045,1
24043,1
24029,1
24021,1
24005,1
24001,1
23029,1
23013,1
21101,1
23011,1
23003,1
23001,1
22105,1
22057,1
21227,1
21209,1
21205,1
21199,1
21151,1
78030,1
