,FIPS,County Name,State,Population,2012 Crimes,"2012 Crime Rate Per 10,000",2013 Crimes,"2013 Crime Rate Per 10,000",2014 Crimes,"2014 Crime Rate Per 10,000",2015 Crimes,"2015 Crime Rate Per 10,000",2016 Crimes,"2016 Crime Rate Per 10,000",Total Crimes,2012-2016 Combined Crime Rate,2012-2016 Average Crime Rate
35,01071,Sebastian,Arkansas,52608.0,0.0,0.0,1.0,1.901,3.0,5.703,0.0,0.0,4.0,7.603,8.0,0.0,3.0414000000000003
36,01073,Van Buren,Arkansas,659096.0,0.0,0.0,1.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0304
37,01075,Washington,Arkansas,14066.0,3.0,21.328,0.0,0.0,1.0,7.109,0.0,0.0,0.0,0.0,4.0,21.328,5.687399999999999
38,01077,Yell,Arkansas,92641.0,1.0,1.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.079,0.2158
39,01079,Alameda,California,33433.0,195.0,583.256,263.0,786.648,137.0,409.775,106.0,317.052,255.0,762.719,956.0,583.256,571.8900000000001
40,01081,Amador,California,153947.0,0.0,0.0,0.0,0.0,1.0,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.13
41,01083,Butte,California,90257.0,5.0,5.54,6.0,6.648,3.0,3.324,1.0,1.108,4.0,4.432,19.0,5.54,4.2104
42,01085,Colusa,California,10565.0,0.0,0.0,0.0,0.0,1.0,9.465,0.0,0.0,0.0,0.0,1.0,0.0,1.893
43,01087,Contra Costa,California,19684.0,12.0,60.963,17.0,86.365,16.0,81.284,18.0,91.445,14.0,71.124,77.0,60.963,78.23620000000001
44,01089,El Dorado,California,349973.0,1.0,0.286,1.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.286,0.11439999999999999
45,01091,Fresno,California,20066.0,9.0,44.852,8.0,39.868,10.0,49.836,11.0,54.819,12.0,59.803,50.0,44.852,49.8356
46,01093,Glenn,California,30239.0,1.0,3.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.307,0.6614
47,01095,Humboldt,California,94534.0,4.0,4.231,1.0,1.058,2.0,2.116,4.0,4.231,4.0,4.231,15.0,4.231,3.1734
48,01097,Imperial,California,414291.0,0.0,0.0,1.0,0.241,0.0,0.0,1.0,0.241,0.0,0.0,2.0,0.0,0.0964
49,01099,Kern,California,21975.0,5.0,22.753,5.0,22.753,7.0,31.854,1.0,4.551,9.0,40.956,27.0,22.753,24.5734
50,01101,Kings,California,227392.0,1.0,0.44,3.0,1.319,0.0,0.0,4.0,1.759,1.0,0.44,9.0,0.44,0.7916
51,01103,Lake,California,119555.0,4.0,3.346,1.0,0.836,1.0,0.836,7.0,5.855,1.0,0.836,14.0,3.346,2.3418
52,01105,Los Angeles,California,9856.0,476.0,4829.545,741.0,7518.263,912.0,9253.247,714.0,7244.318,727.0,7376.218,3570.0,4829.545,7244.3182
53,01107,Marin,California,20042.0,6.0,29.937,1.0,4.99,2.0,9.979,0.0,0.0,5.0,24.948,14.0,29.937,13.9708
54,01109,Mendocino,California,33277.0,0.0,0.0,0.0,0.0,2.0,6.01,1.0,3.005,2.0,6.01,5.0,0.0,3.005
55,01111,Merced,California,22615.0,0.0,0.0,1.0,4.422,0.0,0.0,1.0,4.422,0.0,0.0,2.0,0.0,1.7688
56,01113,Mono,California,58636.0,1.0,1.705,0.0,0.0,2.0,3.411,0.0,0.0,1.0,1.705,4.0,1.705,1.3641999999999999
57,01115,Monterey,California,86576.0,1.0,1.155,3.0,3.465,3.0,3.465,3.0,3.465,3.0,3.465,13.0,1.155,3.003
58,01117,Napa,California,205951.0,1.0,0.486,0.0,0.0,0.0,0.0,1.0,0.486,0.0,0.0,2.0,0.486,0.1944
59,01119,Nevada,California,13285.0,0.0,0.0,0.0,0.0,1.0,7.527,0.0,0.0,0.0,0.0,1.0,0.0,1.5054
60,01121,Orange,California,81057.0,42.0,51.815,31.0,38.245,33.0,40.712,37.0,45.647,32.0,39.478,175.0,51.815,43.1794
61,01123,Placer,California,40958.0,1.0,2.442,1.0,2.442,2.0,4.883,2.0,4.883,11.0,26.857,17.0,2.442,8.3014
62,01125,Riverside,California,202471.0,66.0,32.597,81.0,40.006,100.0,49.39,67.0,33.091,39.0,19.262,353.0,32.597,34.8692
63,01127,Sacramento,California,65593.0,9.0,13.721,14.0,21.344,4.0,6.098,11.0,16.77,5.0,7.623,43.0,13.721,13.1112
64,01129,San Benito,California,16909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,01131,San Bernardino,California,11119.0,18.0,161.885,29.0,260.815,26.0,233.834,17.0,152.891,31.0,278.802,121.0,161.885,217.64539999999997
66,01133,San Diego,California,24013.0,244.0,1016.116,291.0,1211.844,200.0,832.882,351.0,1461.708,221.0,920.335,1307.0,1016.116,1088.577
67,02013,San Francisco,California,3299.0,34.0,1030.615,44.0,1333.737,36.0,1091.24,64.0,1939.982,38.0,1151.864,216.0,1030.615,1309.4876
68,02016,San Joaquin,California,5714.0,5.0,87.504,10.0,175.009,7.0,122.506,9.0,157.508,7.0,122.506,38.0,87.504,133.0066
69,02020,San Luis Obispo,California,299321.0,5.0,1.67,3.0,1.002,6.0,2.005,2.0,0.668,5.0,1.67,21.0,1.67,1.403
70,02050,San Mateo,California,17885.0,6.0,33.548,5.0,27.956,4.0,22.365,4.0,22.365,9.0,50.321,28.0,33.548,31.311
71,02060,Santa Barbara,California,942.0,4.0,424.628,1.0,106.157,3.0,318.471,1.0,106.157,0.0,0.0,9.0,424.628,191.0826
72,02068,Santa Clara,California,2125.0,190.0,8941.176,200.0,9411.765,200.0,9411.765,100.0,4705.882,362.0,17035.294,1052.0,8941.176,9901.1764
73,02070,Santa Cruz,California,4980.0,60.0,1204.819,4.0,80.321,40.0,803.213,21.0,421.687,42.0,843.373,167.0,1204.819,670.6826
74,02090,Shasta,California,100150.0,13.0,12.981,7.0,6.99,2.0,1.997,9.0,8.987,8.0,7.988,39.0,12.981,7.7886
75,02100,Solano,California,2528.0,2.0,79.114,5.0,197.785,2.0,79.114,0.0,0.0,6.0,237.342,15.0,79.114,118.671
76,02105,Sonoma,California,2107.0,2.0,94.922,5.0,237.304,1.0,47.461,3.0,142.383,5.0,237.304,16.0,94.922,151.8748
77,02110,Stanislaus,California,32524.0,5.0,15.373,3.0,9.224,4.0,12.299,9.0,27.672,13.0,39.97,34.0,15.373,20.9076
78,02122,Sutter,California,57637.0,0.0,0.0,1.0,1.735,1.0,1.735,0.0,0.0,0.0,0.0,2.0,0.0,0.6940000000000001
79,02130,Tehama,California,13715.0,0.0,0.0,2.0,14.583,2.0,14.583,0.0,0.0,0.0,0.0,4.0,0.0,5.8332
80,02150,Tulare,California,13918.0,2.0,14.37,1.0,7.185,1.0,7.185,2.0,14.37,1.0,7.185,7.0,14.37,10.059000000000001
81,02158,Tuolumne,California,7993.0,1.0,12.511,1.0,12.511,2.0,25.022,0.0,0.0,1.0,12.511,5.0,12.511,12.511
82,02164,Ventura,California,1411.0,13.0,921.332,8.0,566.974,12.0,850.461,20.0,1417.434,11.0,779.589,64.0,921.332,907.158
83,02170,Yolo,California,98679.0,64.0,64.857,48.0,48.643,32.0,32.428,72.0,72.964,56.0,56.75,272.0,64.857,55.1284
84,02180,Yuba,California,9879.0,1.0,10.122,0.0,0.0,0.0,0.0,1.0,10.122,0.0,0.0,2.0,10.122,4.0488
85,02185,Adams,Colorado,9681.0,1.0,10.33,2.0,20.659,1.0,10.33,0.0,0.0,0.0,0.0,4.0,10.33,8.2638
86,02188,Arapahoe,Colorado,7723.0,13.0,168.328,14.0,181.277,7.0,90.638,10.0,129.483,17.0,220.122,61.0,168.328,157.96960000000004
87,02195,Boulder,Colorado,3196.0,16.0,500.626,5.0,156.446,5.0,156.446,4.0,125.156,15.0,469.337,45.0,500.626,281.6022
88,02198,Clear Creek,Colorado,6374.0,0.0,0.0,0.0,0.0,1.0,15.689,0.0,0.0,0.0,0.0,1.0,0.0,3.1378
89,02220,Delta,Colorado,8921.0,1.0,11.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.21,2.242
90,02230,Denver,Colorado,1014.0,33.0,3254.438,15.0,1479.29,9.0,887.574,10.0,986.193,13.0,1282.051,80.0,3254.438,1577.9092
91,02240,Douglas,Colorado,6970.0,8.0,114.778,2.0,28.694,3.0,43.042,1.0,14.347,0.0,0.0,14.0,114.778,40.172200000000004
92,02261,Eagle,Colorado,9522.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.502,0.0,0.0,1.0,0.0,2.1004
93,02275,El Paso,Colorado,2401.0,73.0,3040.4,23.0,957.934,12.0,499.792,14.0,583.09,8.0,333.195,130.0,3040.4,1082.8822
94,02282,Fremont,Colorado,646.0,0.0,0.0,0.0,0.0,1.0,154.799,0.0,0.0,1.0,154.799,2.0,0.0,61.9196
95,02290,Garfield,Colorado,5600.0,3.0,53.571,1.0,17.857,4.0,71.429,2.0,35.714,1.0,17.857,11.0,53.571,39.2856
96,04001,Gunnison,Colorado,72346.0,0.0,0.0,0.0,0.0,1.0,1.382,0.0,0.0,0.0,0.0,1.0,0.0,0.2764
97,04003,Huerfano,Colorado,128177.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.56,0.0,0.0,2.0,0.0,0.312
98,04005,Jefferson,Colorado,138064.0,3.0,2.173,6.0,4.346,3.0,2.173,2.0,1.449,1.0,0.724,15.0,2.173,2.173
99,04007,La Plata,Colorado,53179.0,2.0,3.761,0.0,0.0,1.0,1.88,1.0,1.88,0.0,0.0,4.0,3.761,1.5042
100,04009,Larimer,Colorado,37529.0,4.0,10.658,2.0,5.329,4.0,10.658,4.0,10.658,3.0,7.994,17.0,10.658,9.0594
101,04011,Las Animas,Colorado,9224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,04012,Logan,Colorado,20304.0,2.0,9.85,0.0,0.0,2.0,9.85,1.0,4.925,1.0,4.925,6.0,9.85,5.91
103,04013,Mesa,Colorado,4088549.0,1.0,0.024,4.0,0.098,1.0,0.024,1.0,0.024,3.0,0.073,10.0,0.024,0.0486
104,04015,Moffat,Colorado,203629.0,4.0,1.964,0.0,0.0,0.0,0.0,1.0,0.491,0.0,0.0,5.0,1.964,0.491
105,04017,Morgan,Colorado,108209.0,0.0,0.0,0.0,0.0,2.0,1.848,0.0,0.0,0.0,0.0,2.0,0.0,0.36960000000000004
106,04019,Otero,Colorado,1003338.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,0.1,0.04
107,04021,Pitkin,Colorado,397604.0,1.0,0.252,1.0,0.252,0.0,0.0,1.0,0.252,1.0,0.252,4.0,0.252,0.2016
108,04023,Pueblo,Colorado,46547.0,3.0,6.445,2.0,4.297,1.0,2.148,7.0,15.039,1.0,2.148,14.0,6.445,6.0154000000000005
109,04025,Rio Blanco,Colorado,218586.0,1.0,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.457,0.09140000000000001
110,04027,Routt,Colorado,203292.0,1.0,0.492,1.0,0.492,3.0,1.476,0.0,0.0,0.0,0.0,5.0,0.492,0.492
111,05001,San Miguel,Colorado,18569.0,1.0,5.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.385,1.077
112,05003,Summit,Colorado,20989.0,1.0,4.764,1.0,4.764,0.0,0.0,1.0,4.764,1.0,4.764,4.0,4.764,3.8112000000000004
113,05005,Weld,Colorado,40992.0,10.0,24.395,1.0,2.44,0.0,0.0,1.0,2.44,2.0,4.879,14.0,24.395,6.830800000000001
114,05007,Fairfield,Connecticut,245231.0,14.0,5.709,22.0,8.971,23.0,9.379,27.0,11.01,35.0,14.272,121.0,5.709,9.868199999999998
115,05009,Hartford,Connecticut,37301.0,35.0,93.831,27.0,72.384,22.0,58.98,16.0,42.894,18.0,48.256,118.0,93.831,63.269000000000005
116,05011,Litchfield,Connecticut,11096.0,8.0,72.098,9.0,81.11,8.0,72.098,8.0,72.098,3.0,27.037,36.0,72.098,64.8882
117,05013,Middlesex,Connecticut,5210.0,6.0,115.163,11.0,211.132,9.0,172.745,4.0,76.775,4.0,76.775,34.0,115.163,130.518
118,05015,New Haven,Connecticut,27690.0,29.0,104.731,32.0,115.565,23.0,83.062,16.0,57.783,19.0,68.617,119.0,104.731,85.95160000000001
119,05017,New London,Connecticut,11189.0,11.0,98.311,5.0,44.687,3.0,26.812,5.0,44.687,6.0,53.624,30.0,98.311,53.62420000000001
120,05019,Tolland,Connecticut,22684.0,1.0,4.408,0.0,0.0,3.0,13.225,1.0,4.408,1.0,4.408,6.0,4.408,5.2898000000000005
121,05021,Windham,Connecticut,15202.0,0.0,0.0,1.0,6.578,1.0,6.578,3.0,19.734,1.0,6.578,6.0,0.0,7.893600000000001
122,05023,Kent,Delaware,25587.0,0.0,0.0,2.0,7.816,1.0,3.908,0.0,0.0,2.0,7.816,5.0,0.0,3.908
123,05025,New Castle,Delaware,8421.0,2.0,23.75,1.0,11.875,2.0,23.75,2.0,23.75,1.0,11.875,8.0,23.75,19.0
124,05027,Sussex,Delaware,24168.0,1.0,4.138,3.0,12.413,1.0,4.138,3.0,12.413,1.0,4.138,9.0,4.138,7.448
125,05029,District of Columbia,District of Columbia,21060.0,24.0,113.96,27.0,128.205,24.0,113.96,27.0,128.205,44.0,208.927,146.0,113.96,138.65140000000002
126,05031,Alachua,Florida,102884.0,7.0,6.804,2.0,1.944,0.0,0.0,2.0,1.944,5.0,4.86,16.0,6.804,3.1104
127,05033,Bay,Florida,61927.0,0.0,0.0,2.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.646
128,05035,Brevard,Florida,49511.0,6.0,12.119,4.0,8.079,2.0,4.04,4.0,8.079,5.0,10.099,21.0,12.119,8.4832
129,05037,Broward,Florida,17329.0,6.0,34.624,8.0,46.165,3.0,17.312,3.0,17.312,8.0,46.165,28.0,34.624,32.3156
130,05039,Clay,Florida,7738.0,2.0,25.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.846,5.1692
131,05041,DeSoto,Florida,12234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.174,1.0,0.0,1.6347999999999998
132,05043,Duval,Florida,18688.0,3.0,16.053,5.0,26.755,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.053,8.5616
133,05045,Escambia,Florida,120417.0,5.0,4.152,0.0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,6.0,4.152,0.9964000000000001
134,05047,Hendry,Florida,17799.0,0.0,0.0,0.0,0.0,1.0,5.618,0.0,0.0,0.0,0.0,1.0,0.0,1.1236000000000002
135,05049,Hillsborough,Florida,12186.0,1.0,8.206,0.0,0.0,1.0,8.206,1.0,8.206,2.0,16.412,5.0,8.206,8.206
136,05051,Lake,Florida,97119.0,1.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.03,0.20600000000000002
137,05053,Lee,Florida,18046.0,2.0,11.083,0.0,0.0,1.0,5.541,0.0,0.0,3.0,16.624,6.0,11.083,6.649600000000001
138,05055,Leon,Florida,43745.0,1.0,2.286,1.0,2.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.286,0.9144
139,05057,Marion,Florida,22208.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.503,0.0,0.0,1.0,0.0,0.9006000000000001
140,05059,Martin,Florida,33440.0,2.0,5.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.981,1.1962
141,05061,Miami-Dade,Florida,13487.0,8.0,59.316,5.0,37.073,8.0,59.316,14.0,103.804,8.0,59.316,43.0,59.316,63.76500000000001
142,05063,Monroe,Florida,37030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,05065,Orange,Florida,13461.0,5.0,37.144,1.0,7.429,4.0,29.715,0.0,0.0,4.0,29.715,14.0,37.144,20.8006
144,05067,Osceola,Florida,17495.0,0.0,0.0,0.0,0.0,1.0,5.716,0.0,0.0,0.0,0.0,1.0,0.0,1.1432
145,05069,Palm Beach,Florida,72385.0,4.0,5.526,2.0,2.763,6.0,8.289,2.0,2.763,1.0,1.382,15.0,5.526,4.1446000000000005
146,05071,Pasco,Florida,26025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.685,2.0,0.0,1.537
147,05073,Pinellas,Florida,7127.0,2.0,28.062,1.0,14.031,1.0,14.031,2.0,28.062,2.0,28.062,8.0,28.062,22.4496
148,05075,Polk,Florida,16915.0,1.0,5.912,1.0,5.912,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.912,2.3648
149,05077,St. Lucie,Florida,9781.0,1.0,10.224,1.0,10.224,0.0,0.0,1.0,10.224,0.0,0.0,3.0,10.224,6.1344
150,05079,Sarasota,Florida,13935.0,4.0,28.705,2.0,14.352,0.0,0.0,2.0,14.352,0.0,0.0,8.0,28.705,11.481800000000002
151,05081,Seminole,Florida,12616.0,3.0,23.779,0.0,0.0,1.0,7.926,0.0,0.0,1.0,7.926,5.0,23.779,7.9262
152,05083,Volusia,Florida,21935.0,2.0,9.118,0.0,0.0,0.0,0.0,3.0,13.677,0.0,0.0,5.0,9.118,4.559
153,05085,Carroll,Georgia,71279.0,0.0,0.0,1.0,1.403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2806
154,05087,Clarke,Georgia,15761.0,4.0,25.379,3.0,19.034,0.0,0.0,2.0,12.69,1.0,6.345,10.0,25.379,12.689599999999999
155,05089,Cobb,Georgia,16404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,05091,Floyd,Georgia,43666.0,1.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.29,0.458
157,05093,Fulton,Georgia,44199.0,0.0,0.0,8.0,18.1,3.0,6.787,4.0,9.05,0.0,0.0,15.0,0.0,6.7874
158,05095,Muscogee,Georgia,7542.0,2.0,26.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.518,5.3036
159,05097,Rockdale,Georgia,9100.0,0.0,0.0,1.0,10.989,0.0,0.0,0.0,0.0,1.0,10.989,2.0,0.0,4.3956
160,05099,Ada,Idaho,8668.0,15.0,173.05,9.0,103.83,10.0,115.367,3.0,34.61,4.0,46.147,41.0,173.05,94.6008
161,05101,Bannock,Idaho,7988.0,0.0,0.0,3.0,37.556,1.0,12.519,2.0,25.038,4.0,50.075,10.0,0.0,25.0376
162,05103,Bear Lake,Idaho,24728.0,0.0,0.0,1.0,4.044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8088
163,05105,Benewah,Idaho,10246.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.76,0.0,0.0,1.0,0.0,1.952
164,05107,Bingham,Idaho,19929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,05109,Blaine,Idaho,11017.0,0.0,0.0,1.0,9.077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8154
166,05111,Canyon,Idaho,24131.0,2.0,8.288,5.0,20.72,3.0,12.432,2.0,8.288,2.0,8.288,14.0,8.288,11.603199999999998
167,05113,Elmore,Idaho,20290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.929,1.0,0.0,0.9858
168,05115,Idaho,Idaho,63107.0,1.0,1.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.585,0.317
169,05117,Jerome,Idaho,8334.0,0.0,0.0,0.0,0.0,1.0,11.999,0.0,0.0,0.0,0.0,1.0,0.0,2.3998
170,05119,Kootenai,Idaho,391806.0,5.0,1.276,2.0,0.51,1.0,0.255,2.0,0.51,5.0,1.276,15.0,1.276,0.7654
171,05121,Latah,Idaho,17584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,05123,Lincoln,Idaho,27023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,05125,Madison,Idaho,115577.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.865,0.0,0.0,1.0,0.0,0.173
174,05127,Nez Perce,Idaho,10661.0,0.0,0.0,0.0,0.0,1.0,9.38,0.0,0.0,0.0,0.0,1.0,0.0,1.8760000000000001
175,05129,Payette,Idaho,7938.0,0.0,0.0,2.0,25.195,1.0,12.598,0.0,0.0,1.0,12.598,4.0,0.0,10.078199999999999
176,05131,Shoshone,Idaho,127351.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.785,0.0,0.0,1.0,0.0,0.157
177,05133,Twin Falls,Idaho,17193.0,1.0,5.816,1.0,5.816,0.0,0.0,2.0,11.633,2.0,11.633,6.0,5.816,6.9796
178,05135,Adams,Illinois,17027.0,1.0,5.873,1.0,5.873,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.873,2.3492
179,05137,Alexander,Illinois,12503.0,0.0,0.0,0.0,0.0,1.0,7.998,0.0,0.0,0.0,0.0,1.0,0.0,1.5996000000000001
180,05139,Cass,Illinois,40334.0,1.0,2.479,0.0,0.0,1.0,2.479,0.0,0.0,0.0,0.0,2.0,2.479,0.9916
181,05141,Champaign,Illinois,16892.0,1.0,5.92,3.0,17.76,3.0,17.76,3.0,17.76,2.0,11.84,12.0,5.92,14.208000000000002
182,05143,Coles,Illinois,219930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.455,1.0,0.0,0.091
