,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,_merge,Twitter Handle,Alternate,Twitter
309,Michigan,Sault Ste. Marie,Sault Ste. Marie,WCMZ,FM,98.3,both,@wcmunews,@wcmutv,Twitter
310,Michigan,Standish,Standish,WWCM,FM,96.9,both,None,,Twitter
311,Michigan,Traverse City,Traverse City,WICA,FM,91.5,both,@iprnewsradio,,Twitter
312,Michigan,Twin Lake,Twin Lake,WBLV,FM,90.3,both,None,,Twitter
313,Michigan,Whitehall,Whitehall,WGVS,FM,95.3,both,None,,Twitter
314,Michigan,Ypsilanti,Ypsilanti,WEMU,FM,89.1,both,@wemu891,,Twitter
315,Minnesota,Appleton,Appleton,KNCM,FM,88.5,both,@mprnews,,Twitter
316,Minnesota,Bemidji,Bemidji,KNBJ,FM,91.3,both,@mprnews,,Twitter
317,Minnesota,Brainerd,Brainerd,KBPR,FM,90.7,both,None,,Twitter
318,Minnesota,Buhl,Buhl,WIRN,FM,92.5,both,@mprnews,,Twitter
319,Minnesota,Collegeville,St. Cloud,KNSR,FM,88.9,both,@mprnews,,Twitter
320,Minnesota,Duluth,Cloquet,WSCN,FM,100.5,both,@mprnews,,Twitter
321,Minnesota,Grand Rapids,Grand Rapids,KAXE,FM,91.7,both,@KAXE,,Twitter
322,Minnesota,La Crescent,La Crescent,KXLC,FM,91.1,both,@mprnews,,Twitter
323,Minnesota,Moorhead,Moorhead,KCCD,FM,90.3,both,@mprnews,,Twitter
324,Minnesota,Northfield,,WCAL,FM,89.3,left_only,@mprnews,,Twitter
325,Minnesota,Rochester,Rochester,KMSE,FM,88.7,both,@mprnews,,Twitter
326,Minnesota,Rochester,,KZSE,FM,90.7,left_only,@mprnews,,Twitter
327,Minnesota,St. Paul,Minneapolis,KNOW,FM,91.1,both,@mprnews,,Twitter
328,Minnesota,St. Peters,Mankato,KNGA,FM,91.5,both,@mprnews,,Twitter
329,Minnesota,Thief River Falls,Thief River Falls,KNTN,FM,102.7,both,@TRFRADIO,,Twitter
330,Minnesota,Worthington,Worthington,KNSW,FM,91.7,both,@mprnews,,Twitter
331,Mississippi,Biloxi,Biloxi,WMAH,FM,90.3,both,@mpbonline,,Twitter
332,Mississippi,Booneville,Booneville,WMAE,FM,89.5,both,,,Twitter
333,Mississippi,Bude,Bude,WMAU,FM,88.9,both,,,Twitter
334,Mississippi,Greenwood,Greenwood,WMAO,FM,90.9,both,,,Twitter
335,Mississippi,Holly Springs,Holly Springs,WURC,FM,88.1,both,,,Twitter
336,Mississippi,Jackson,Jackson,WJSU,FM,88.5,both,,,Twitter
337,Mississippi,Jackson,Jackson,WMPN,FM,91.3,both,@MPBNews,@MPBOnline,Twitter
338,Mississippi,Lorman,Lorman,WPRL,FM,91.7,both,@mpbonline,,Twitter
339,Mississippi,Meridian,Meridian,WMAW,FM,88.1,both,@mpbonline,,Twitter
340,Mississippi,Mississippi State,Mississippi State,WMAB,FM,89.9,both,,,Twitter
341,Mississippi,Oxford,Oxford,WMAV,FM,90.3,both,@mpbonline,,Twitter
342,Mississippi,Senatobia,,WKNA,FM,88.9,left_only,,,Twitter
343,Missouri,Branson,Branson,KSMS,FM,90.5,both,,,Twitter
344,Missouri,Cape Girardeau,Cape Girardeau,KRCU,FM,90.9,both,@krcufm,,Twitter
345,Missouri,Chillicothe,Chillicothe,KRNW,FM,88.9,both,,,Twitter
346,Missouri,Columbia,Columbia,KBIA,FM,91.3,both,@kbia,,Twitter
347,Missouri,Columbia,Columbia,KOPN,FM,89.5,both,@kopnfm,,Twitter
348,Missouri,Kansas City,Kansas City,KCUR,FM,89.3,both,@kcur,,Twitter
349,Missouri,Maryville,Maryville,KXCV,FM,90.5,both,@kxcvkrnw,,Twitter
350,Missouri,Rolla,,KUMR,FM,88.5,left_only,,,Twitter
351,Missouri,Springfield,Springfield,KSMU,FM,91.1,both,,,Twitter
352,Missouri,St. Louis,St. Louis,KWMU,FM,90.7,both,,,Twitter
353,Missouri,Warrensburg,Warrensburg,KTBG,FM,90.9,both,,,Twitter
354,Montana,Billings,Billings,KEMC,FM,91.7,both,,,Twitter
355,Montana,Bozeman,Bozeman,KBMC,FM,102.1,both,,,Twitter
356,Montana,Butte,Butte,KAPC,FM,91.3,both,,,Twitter
357,Montana,Fort Belknap,Fort Belknap,KGVA,FM,88.1,both,,,Twitter
358,Montana,Great Falls,Great Falls,KGPR,FM,89.9,both,,,Twitter
359,Montana,Hamilton,Hamilton,KUFN,FM,91.9,both,,,Twitter
360,Montana,Havre,,KNMC,FM,90.1,left_only,(@KNMCradio),,Twitter
361,Montana,Helena,Helena,KUHM,FM,91.7,both,,,Twitter
362,Montana,Kalispell,Kalispell,KUKL,FM,89.9,both,,,Twitter
363,Montana,Miles City,,KECC,FM,90.7,left_only,,,Twitter
364,Montana,Missoula,Missoula,KUFM,FM,89.1,both,,,Twitter
365,Nebraska,Alliance,Alliance,KTNE,FM,91.1,both,,,Twitter
366,Nebraska,Bassett,Bassett,KMNE,FM,90.3,both,,,Twitter
367,Nebraska,Chadron,Chadron,KCNE,FM,91.9,both,,,Twitter
368,Nebraska,Hastings,Hastings,KHNE,FM,89.1,both,,,Twitter
369,Nebraska,Lexington,Lexington,KLNE,FM,88.7,both,,,Twitter
370,Nebraska,Lincoln,Lincoln,KUCV,FM,91.1,both,,,Twitter
371,Nebraska,Merriman,Merriman,KRNE,FM,91.5,both,,,Twitter
372,Nebraska,Norfolk,Norfolk,KXNE,FM,89.3,both,,,Twitter
373,Nebraska,North Platte,North Platte,KPNE,FM,91.7,both,,,Twitter
374,Nebraska,Omaha,Omaha,KIOS,FM,91.5,both,,,Twitter
375,Nevada,Elko,Elko,KNCC,FM,91.5,both,,,Twitter
376,Nevada,Las Vegas,,KNPR,FM,89.5,left_only,,,Twitter
377,Nevada,Las Vegas,Las Vegas,KUNV,FM,91.5,both,,,Twitter
378,Nevada,Las Vegas,Lund,KWPR,FM,88.7,both,,,Twitter
379,Nevada,Panaca,Panaca,KLNR,FM,91.7,both,,,Twitter
380,Nevada,Reno,Reno,KUNR,FM,88.7,both,,,Twitter
381,Nevada,Tonopah,Tonopah,KTPH,FM,91.7,both,,,Twitter
382,New Hampshire,Concord,Concord,WEVO,FM,89.1,both,,,Twitter
383,New Hampshire,Gorham,Gorham,WEVC,FM,107.1,both,,,Twitter
384,New Hampshire,Hanover,Hanover,WEVH,FM,91.3,both,,,Twitter
385,New Hampshire,Keene,Keene,WEVN,FM,90.7,both,,,Twitter
386,New Jersey,Atlantic City,Atlantic City,WNJN,FM,89.7,both,,,Twitter
387,New Jersey,Berlin,Berlin,WNJS,FM,88.1,both,,,Twitter
388,New Jersey,Bridgeton,Bridgeton,WNJB,FM,89.3,both,,,Twitter
389,New Jersey,Cape May,Cape May,WNJZ,FM,90.3,both,,,Twitter
390,New Jersey,Hackettstown,,WNTI,FM,91.9,left_only,,,Twitter
391,New Jersey,Lincroft,Lincroft,WBJB,FM,90.5,both,,,Twitter
392,New Jersey,Manahawkin,Manahawkin,WNJM,FM,89.9,both,,,Twitter
393,New Jersey,Newark,Newark,WBGO,FM,88.3,both,,,Twitter
394,New Jersey,Atlantic City,,WRTQ,FM,91.3,left_only,,,Twitter
395,New Jersey,Sussex,Sussex,WNJP,FM,88.5,both,,,Twitter
396,New Jersey,Trenton,Trenton,WNJT,FM,88.1,both,,,Twitter
397,New Mexico,Albuquerque,Albuquerque,KANW,FM,89.1,both,,,Twitter
398,New Mexico,Albuquerque,Albuquerque,KUNM,FM,89.9,both,,,Twitter
399,New Mexico,Gallup,Gallup,KGLP,FM,91.7,both,,,Twitter
400,New Mexico,Las Cruces,Las Cruces,KRWG,FM,90.7,both,,,Twitter
401,New Mexico,Magdalena,,KABR,AM,1500.0,left_only,,,Twitter
402,New Mexico,Maljamar,Maljamar,KMTH,FM,98.7,both,,,Twitter
403,New Mexico,Portales,Portales,KENW,FM,89.5,both,,,Twitter
404,New Mexico,Ramah,Ramah,KTDB,FM,89.7,both,,,Twitter
405,New York,Albany,Albany,WAMC,FM,90.3,both,,,Twitter
406,New York,Binghamton,Binghamton,WSKG,FM,89.3,both,,,Twitter
407,New York,Binghamton,Binghamton,WSQX,FM,91.5,both,,,Twitter
408,New York,Blue Mountain Lake,Blue Mtn. Lake,WXLH,FM,91.3,both,,,Twitter
409,New York,Brooklyn,Brooklyn,WNYE,FM,91.5,both,,,Twitter
410,New York,Brookville,Brookville,WCWP,FM,88.1,both,,,Twitter
411,New York,Buffalo,Buffalo,WBFO,FM,88.7,both,,,Twitter
412,New York,Buffalo,,WNED,AM,970.0,left_only,,,Twitter
413,New York,Buffalo,,WNED,FM,89.3,left_only,,,Twitter
414,New York,Canajoharie,Canajoharie,WCAN,FM,93.3,both,,,Twitter
415,New York,Canton,Canton,WSLU,FM,89.5,both,,,Twitter
416,New York,Corning,Corning,WSQE,FM,91.1,both,,,Twitter
417,New York,Geneva,,WEOS,FM,89.7,left_only,,,Twitter
418,New York,Hornell,Hornell,WSQA,FM,88.7,both,,,Twitter
419,New York,Houghton,,WJSL,FM,90.3,left_only,,,Twitter
420,New York,Ithaca,Ithaca,WSQG,FM,90.9,both,,,Twitter
421,New York,Jamestown,Jamestown,WUBJ,FM,88.1,both,,,Twitter
422,New York,Jeffersonville,Jeffersonville,WJFF,FM,90.5,both,,,Twitter
423,New York,Kingston,Kingston,WAMK,FM,90.9,both,,,Twitter
424,New York,Malone,Malone,WSLO,FM,90.9,both,,,Twitter
425,New York,Middletown,Middletown,WOSR,FM,91.7,both,,,Twitter
426,New York,New York City,New York City,WFUV,FM,90.7,both,,,Twitter
427,New York,New York City,New York City,WNYC,AM,820.0,both,,,Twitter
428,New York,New York City,New York City,WNYC,FM,93.9,both,,,Twitter
429,New York,North Creek,North Creek,WXLG,FM,89.9,both,,,Twitter
430,New York,Olean,Olean,WOLN,FM,91.3,both,,,Twitter
431,New York,Oneonta,Oneonta,WSQC,FM,91.7,both,,,Twitter
432,New York,Oswego,Oswego,WRVO,FM,89.9,both,,,Twitter
433,New York,Oswego,Oswego,WRVD,FM,90.3,both,,,Twitter
434,New York,Peru,,WXLU,FM,88.3,left_only,,,Twitter
435,New York,Plattsburgh,Plattsburgh,WCEL,FM,91.9,both,,,Twitter
436,New York,Poughkeepsie,Poughkeepsie,WRHV,FM,88.7,both,,,Twitter
437,New York,Rochester,Rochester,WXXI,AM,1370.0,both,,,Twitter
438,New York,Rochester,Rochester,WXXI,FM,91.5,both,,,Twitter
439,New York,Saranac Lake,Saranac Lake,WSLL,FM,90.5,both,,,Twitter
440,New York,Schenectady,Schenectady,WMHT,FM,89.1,both,,,Twitter
441,New York,Selden,Selden,WSUF,FM,89.9,both,,,Twitter
442,New York,Southampton,,WLIU,FM,88.3,left_only,,,Twitter
443,New York,Southampton,Southampton,WRLI,FM,91.3,both,,,Twitter
444,New York,Syracuse,Syracuse,WAER,FM,88.3,both,,,Twitter
445,New York,Syracuse,Syracuse,WCNY,FM,91.3,both,,,Twitter
446,New York,Ticonderoga,Ticonderoga,WANC,FM,103.9,both,,,Twitter
447,New York,Utica,Utica,WRVN,FM,91.9,both,,,Twitter
448,New York,Utica,Utica,WUNY,FM,89.5,both,,,Twitter
449,New York,Watertown,Watertown,WJNY,FM,90.9,both,,,Twitter
450,New York,Watertown,Watertown,WRVJ,FM,91.7,both,,,Twitter
451,New York,Watertown,Watertown,WSLJ,FM,88.9,both,,,Twitter
452,North Carolina,Asheville,Asheville,WCQS,FM,88.1,both,,,Twitter
453,North Carolina,Atlantic Beach,Atlantic Beach,WBJD,FM,91.5,both,,,Twitter
454,North Carolina,Buxton,Buxton,WBUX,FM,90.5,both,,,Twitter
455,North Carolina,Chapel Hill,Chapel Hill,WUNC,FM,91.5,both,,,Twitter
456,North Carolina,Charlotte,Charlotte,WFAE,FM,90.7,both,,,Twitter
457,North Carolina,Davidson,Davidson,WDAV,FM,89.9,both,,,Twitter
458,North Carolina,Durham,Durham,WNCU,FM,90.7,both,,,Twitter
459,North Carolina,Fayetteville,Fayetteville,WFSS,FM,91.9,both,,,Twitter
460,North Carolina,Franklin,Franklin,WFQS,FM,91.3,both,,,Twitter
461,North Carolina,Hickory,Hickory,WFHE,FM,90.3,both,,,Twitter
462,North Carolina,Kingston,,WKNS,FM,90.5,left_only,,,Twitter
463,North Carolina,Manteo,Manteo,WURI,FM,91.5,both,,,Twitter
464,North Carolina,New Bern,New Bern,WTEB,FM,89.3,both,,,Twitter
465,North Carolina,Roanoke Rapids,,WZRU,FM,88.5,left_only,,,Twitter
466,North Carolina,Rocky Mount,,WRQM,FM,90.0,left_only,,,Twitter
467,North Carolina,Spindale,Spindale,WNCW,FM,88.7,both,,,Twitter
468,North Carolina,Wilmington,Wilmington,WHQR,FM,91.3,both,,,Twitter
469,North Carolina,Winston-Salem,Winston-Salem,WFDD,FM,88.5,both,,,Twitter
470,North Dakota,Belcourt,Belcourt,KEYA,FM,88.5,both,,,Twitter
471,North Dakota,Bismarck,Bismarck,KCND,FM,90.5,both,,,Twitter
472,North Dakota,Dickinson,Dickinson,KDPR,FM,89.9,both,,,Twitter
473,North Dakota,Fargo,Fargo,KDSU,FM,91.9,both,,,Twitter
474,North Dakota,Grand Forks,Grand Forks,KUND,FM,89.3,both,,,Twitter
475,North Dakota,Jamestown,Jamestown,KPRJ,FM,91.5,both,,,Twitter
476,North Dakota,Minot,Minot,KMPR,FM,88.9,both,,,Twitter
477,North Dakota,Williston,Williston,KPPR,FM,89.5,both,,,Twitter
478,Ohio,Athens,Athens,WOUB,AM,1340.0,both,,,Twitter
479,Ohio,Athens,Athens,WOUB,FM,91.3,both,,,Twitter
480,Ohio,Bryan,Bryan,WGBE,FM,90.9,both,,,Twitter
481,Ohio,Cambridge,Cambridge,WOUC,FM,89.1,both,(@wouc),,Twitter
482,Ohio,Chillicothe,Chillicothe,WOUH,FM,91.9,both,,,Twitter
483,Ohio,Chillicothe,,WVXC,FM,89.3,left_only,,,Twitter
484,Ohio,Cincinnati,Cincinnati,WGUC,FM,90.9,both,(@909WGUC),,Twitter
485,Ohio,Cincinnati,Cincinnati,WVXU,FM,91.7,both,(@917wvxu),,Twitter
486,Ohio,Cleveland,Cleveland,WCPN,FM,90.3,both,(@WCPN),,Twitter
487,Ohio,Columbus,Columbus,WCBE,FM,90.5,both,(@WCBE905Columbus),,Twitter
488,Ohio,Columbus,,WOSU,AM,820.0,left_only,(@WOSU),,Twitter
489,Ohio,Coshocton,Coshocton,WOSE,FM,91.1,both,,,Twitter
490,Ohio,Dayton,Dayton,WDPR,FM,88.1,both,,,Twitter
491,Ohio,Defiance,Defiance,WGDE,FM,91.9,both,,,Twitter
492,Ohio,Ironton,Ironton,WOUL,FM,89.1,both,,,Twitter
493,Ohio,Kent,Kent,WKSU,FM,89.7,both,(@WKSU),,Twitter
494,Ohio,Lima,Lima,WGLE,FM,90.7,both,,,Twitter
495,Ohio,Mansfield,Mansfield,WOSV,FM,91.7,both,,,Twitter
496,Ohio,Marion,Marion,WOSB,FM,91.1,both,,,Twitter
497,Ohio,Mt. Gilead,,WVXG,FM,95.1,left_only,,,Twitter
498,Ohio,New Philadelphia,New Philadelphia,WKRJ,FM,91.5,both,,,Twitter
499,Ohio,Oxford,Oxford,WMUB,FM,88.5,both,,,Twitter
500,Ohio,Portsmouth,Portsmouth,WOSP,FM,91.5,both,,,Twitter
501,Ohio,Thompson,,WSKV,FM,89.1,left_only,,,Twitter
502,Ohio,Toledo,Toledo,WGTE,FM,91.3,both,,,Twitter
503,Ohio,West Union,,WVXW,FM,89.5,left_only,,,Twitter
504,Ohio,Wooster,Wooster,WKRW,FM,89.3,both,,,Twitter
505,Ohio,Yellow Springs,Yellow Springs,WYSO,FM,91.3,both,(@WYSO),,Twitter
506,Ohio,Youngstown,Youngstown,WYSU,FM,88.5,both,(@WYSU),,Twitter
507,Ohio,Zanesville,Zanesville,WOUZ,FM,90.1,both,,,Twitter
508,Oklahoma,Ardmore,Ardmore,KLCU,FM,90.3,both,,,Twitter
509,Oklahoma,Lawton,Lawton,KCCU,FM,89.3,both,(@KCCURadio),,Twitter
510,Oklahoma,Norman,Norman,KGOU,FM,106.3,both,(@kgounews),,Twitter
511,Oklahoma,Oklahoma City,Oklahoma City,KROU,FM,105.7,both,,,Twitter
512,Oklahoma,Stillwater,Stillwater,KOSU,FM,91.7,both,(@KOSURadio),,Twitter
513,Oklahoma,Tulsa,Tulsa,KWGS,FM,89.5,both,(@KWGSNEWS),,Twitter
514,Oregon,Ashland,Ashland,KAGI,AM,930.0,both,,,Twitter
515,Oregon,Ashland,Ashland,KSJK,AM,1230.0,both,,,Twitter
516,Oregon,Ashland,Ashland,KSMF,FM,89.1,both,,,Twitter
517,Oregon,Ashland,Ashland,KSRG,FM,88.3,both,,,Twitter
518,Oregon,Ashland,Ashland,KSOR,FM,90.1,both,,,Twitter
519,Oregon,Astoria,Astoria,KMUN,FM,91.9,both,,,Twitter
520,Oregon,Bend,Bend,KOAB,FM,91.3,both,,,Twitter
521,Oregon,Coos Bay,Coos Bay,KSBA,FM,88.5,both,,,Twitter
522,Oregon,Corvallis,Corvallis,KOAC,AM,550.0,both,,,Twitter
523,Oregon,Eugene,Eugene,KLCC,FM,89.7,both,(@KLCCEugeneOR),,Twitter
524,Oregon,Eugene,Eugene,KRVM,AM,1280.0,both,,,Twitter
525,Oregon,Florence,Florence,KLFO,FM,88.1,both,,,Twitter
526,Oregon,Gresham,Gresham,KMHD,FM,89.1,both,(@KMHD_JAZZ_Radio),,Twitter
527,Oregon,Klamath Falls,Klamath Falls,KSKF,FM,90.9,both,,,Twitter
528,Oregon,Newport,Newport,KLCO,FM,90.5,both,,,Twitter
529,Oregon,Pendleton,Pendleton,KRBM,FM,90.9,both,,,Twitter
530,Oregon,Portland,Portland,KOPB,FM,91.5,both,,,Twitter
531,Oregon,Reedsport,Reedsport,KLFR,FM,89.1,both,,,Twitter
532,Oregon,Roseburg,Roseburg,KSRS,FM,91.5,both,,,Twitter
533,Pennsylvania,Allentown,Allentown,WDIY,FM,88.1,both,(@WDIYFM),,Twitter
534,Pennsylvania,Erie,Erie,WQLN,FM,91.3,both,(@WQLN),,Twitter
535,Pennsylvania,Harrisburg,Harrisburg,WITF,FM,89.5,both,(@WITF),,Twitter
536,Pennsylvania,Harrisburg,Summerdale,WJAZ,FM,91.7,both,,,Twitter
537,Pennsylvania,Harrisburg,,WXPH,FM,88.1,left_only,,,Twitter
538,Pennsylvania,Huntingdon,,WKVR,FM,92.3,left_only,,,Twitter
539,Pennsylvania,Johnstown,Johnstown,WQEJ,FM,89.7,both,(@wqed),,Twitter
540,Pennsylvania,Kane,,WPSB,FM,90.1,left_only,,,Twitter
541,Pennsylvania,Mt. Pocono,Mt. Pocono,WRTY,FM,91.1,both,,,Twitter
542,Pennsylvania,Philadelphia,Philadelphia,WHYY,FM,90.9,both,(@whyy),,Twitter
543,Pennsylvania,Philadelphia,Philadelphia,WRTI,FM,90.1,both,(@WRTImusic),,Twitter
544,Pennsylvania,Philadelphia,Philadelphia,WXPN,FM,88.5,both,(@wxpnfm),,Twitter
545,Pennsylvania,Pittsburgh,,WDUQ,FM,90.5,left_only,(@905wesa),,Twitter
546,Pennsylvania,Pittsburgh,Pittsburgh,WQED,FM,89.3,both,(@WQEDFM),,Twitter
547,Pennsylvania,Pittsburgh,Pittsburgh,WYEP,FM,91.3,both,(@WYEP),,Twitter
548,Pennsylvania,Scranton,Scranton,WVIA,FM,89.9,both,(@WVIATVFM),,Twitter
549,Pennsylvania,State College,State College,WPSU,FM,91.5,both,(@WPSU),,Twitter
550,Puerto Rico,Rio Piedras,Ro Piedras,WRTU,FM,89.7,both,(@radioupr),,Twitter
551,Puerto Rico,San Juan,,WOSO,AM,1030.0,left_only,(@WOSO1030AM),,Twitter
552,Rhode Island,North Providence,,WRNI,AM,1290.0,left_only,,,Twitter
553,Rhode Island,Westerly,,WXNI,AM,1230.0,left_only,,,Twitter
554,South Carolina,Aiken,Aiken,WLJK,FM,89.1,both,(@SCPublicRadio),,Twitter
555,South Carolina,Beaufort,Beaufort,WJWJ,FM,89.9,both,(@SCPublicRadio),,Twitter
556,South Carolina,Charleston,Charleston,WSCI,FM,89.3,both,(@SCPublicRadio),,Twitter
557,South Carolina,Columbia,Columbia,WLTR,FM,91.3,both,(@SCPublicRadio),,Twitter
558,South Carolina,Conway,Conway,WHMC,FM,90.1,both,(@SCPublicRadio),,Twitter
559,South Carolina,Greenville,Greenville,WEPR,FM,90.1,both,(@SCPublicRadio),,Twitter
560,South Carolina,Orangeburg,Orangeburg,WSSB,FM,90.3,both,(@SCPublicRadio),,Twitter
561,South Carolina,Rock Hill,Rock Hill,WNSC,FM,88.9,both,(@SCPublicRadio),,Twitter
562,South Carolina,Sumter,Sumter,WRJA,FM,88.1,both,,,Twitter
563,South Dakota,Brookings,Brookings,KESD,FM,88.3,both,,,Twitter
564,South Dakota,Faith,Faith,KPSD,FM,97.1,both,,,Twitter
565,South Dakota,Lowry,Lowry,KQSD,FM,91.9,both,,,Twitter
566,South Dakota,Martin,Martin,KZSD,FM,102.5,both,,,Twitter
567,South Dakota,Pierpont,Watertown,KDSD,FM,90.9,both,,,Twitter
568,South Dakota,Rapid City,Rapid City,KBHE,FM,89.3,both,,,Twitter
569,South Dakota,Reliance,Pierre,KTSD,FM,91.1,both,,,Twitter
570,South Dakota,Sioux Falls,Sioux Falls,KCSD,FM,90.9,both,,,Twitter
571,South Dakota,Vermillion,Vermillion,KUSD,FM,89.7,both,,,Twitter
572,Tennessee,Chattanooga,Chattanooga,WUTC,FM,88.1,both,(@WUTC_FM),,Twitter
573,Tennessee,Cookeville,Cookeville,WHRS,FM,91.7,both,,,Twitter
574,Tennessee,Dyersberg,Dyersburg,WKNQ,FM,90.7,both,,,Twitter
575,Tennessee,Jackson,Jackson,WKNP,FM,90.1,both,,,Twitter
576,Tennessee,Johnson City,Johnson City,WETS,FM,89.5,both,(@WETSFM),,Twitter
577,Tennessee,Knoxville,Knoxville,WUOT,FM,91.9,both,(@WUOTFM),,Twitter
578,Tennessee,Madison,Madison,WPLN,AM,1430.0,both,(@WPLN),,Twitter
579,Tennessee,Memphis,Memphis,WKNO,FM,91.1,both,(@WKNOFM),,Twitter
580,Tennessee,Murfreesboro,Murfreesboro,WMOT,FM,89.5,both,(@WMOT),,Twitter
581,Tennessee,Nashville,Nashville,WPLN,FM,90.3,both,(@WPLN),,Twitter
582,Tennessee,Tullahoma,Tullahoma,WTML,FM,91.5,both,None,,Twitter
583,Texas,Abilene,,KACU,FM,89.7,left_only,(@KACU895),,Twitter
584,Texas,Austin,Austin,KUT,FM,90.5,both,(@KUT),,Twitter
585,Texas,Beaumont,Beaumont,KVLU,FM,91.3,both,(@913KVLU),,Twitter
586,Texas,College Station,College Station,KAMU,FM,90.9,both,(@KAMUTVFM),,Twitter
587,Texas,College Station,College Station,KEOS,FM,89.1,both,(@KEOSRADIO),,Twitter
588,Texas,Corpus Christi,Corpus Christi,KEDT,FM,90.3,both,(@YourKEDT),,Twitter
589,Texas,Dallas,Dallas-Fort Worth,KERA,FM,90.1,both,(@keratx),,Twitter
590,Texas,Dallas,Denton,KERA,FM,90.1,both,(@keratx),,Twitter
591,Texas,Denton,Denton,KNTU,FM,88.1,both,(@KNTU881),,Twitter
592,Texas,El Paso,El Paso,KTEP,FM,88.5,both,(@ktep885fm),,Twitter
593,Texas,Harlingen,,KMBH,FM,88.9,left_only,(@PublicRadio88FM),,Twitter
594,Texas,Houston,Houston,KUHF,FM,88.7,both,(@HoustonPubMedia),@HoustonPubMedia,Twitter
595,Texas,Ingram,Ingram,KTXI,FM,90.1,both,,,Twitter
596,Texas,Lubbock,,KOHM,FM,89.1,left_only,None,,Twitter
597,Texas,Lufkin,Lufkin,KLDN,FM,88.9,both,(@881TheOne),,Twitter
598,Texas,McAllen,McAllen,KHID,FM,88.1,both,None,,Twitter
599,Texas,Odessa,,KOCV,FM,91.3,left_only,(@KPVU913FM),,Twitter
600,Texas,Prairie View,Prairie View,KPVU,FM,91.3,both,(@KUTX),,Twitter
601,Texas,San Angelo,,KUTX,FM,90.1,left_only,None,,Twitter
602,Texas,San Antonio,San Antonio,KSTX,FM,89.1,both,None,,Twitter
603,Texas,Texarkana,Texarkana,KTXK,FM,91.5,both,None,,Twitter
604,Texas,Victoria,Victoria,KVRT,FM,90.7,both,(@KWBU),,Twitter
605,Texas,Waco,Waco,KWBU,FM,103.3,both,None,,Twitter
606,Utah,Coalville,,KCUA,FM,92.5,left_only,None,,Twitter
607,Utah,Logan,Logan,KUSU,FM,91.5,both,(@KCPW),,Twitter
608,Utah,Salt Lake City,,KCPW,FM,88.3,left_only,(@KCPWRadio),,Twitter
609,Utah,Salt Lake City,,KPCW,FM,91.9,left_only,(@KUER_FM),,Twitter
610,Utah,Salt Lake City,Salt Lake City,KUER,FM,90.1,both,(@KRCLradio),,Twitter
611,Utah,Salt Lake City,,KRCL,FM,90.9,left_only,None,,Twitter
612,US Virgin Islands,St. Thomas,,WVGN,FM,107.3,left_only,(@WKUF943),,Twitter
613,Vermont,Bennington,Bennington,WBTN,FM,94.3,both,(@WRUVFM),,Twitter
614,Vermont,Burlington,Burlington,WVPS,FM,107.9,both,None,,Twitter
615,Vermont,Rutland,Rutland,WRVT,FM,88.7,both,None,,Twitter
616,Vermont,St. Johnsbury,St. Johnsbury,WVPA,FM,88.5,both,None,,Twitter
617,Vermont,Windsor,Windsor,WVPR,FM,89.5,both,None,,Twitter
618,Virginia,Charlottesville,Charlottesville,WVTU,FM,89.3,both,None,,Twitter
619,Virginia,Charlottesville,Charlottesville,WVTW,FM,88.5,both,None,,Twitter
620,Virginia,Charlottesville,Charlottesville,WMRY,FM,103.5,both,None,,Twitter
621,Virginia,Christiansburg,Christiansburg,WWVT,AM,1260.0,both,(@WMLUradio),,Twitter
622,Virginia,Farmville,Farmville,WMLU,FM,91.3,both,(@WMRAPublicRadio),,Twitter
623,Virginia,Harrisonburg,Harrisonburg,WMRA,FM,90.7,both,None,,Twitter
624,Virginia,Lexington,Lexington,WMRL,FM,89.9,both,None,,Twitter
625,Virginia,Marion,Marion,WVTR,FM,91.9,both,(@WHRO),,Twitter
626,Virginia,Norfolk,Norfolk,WHRO,FM,90.3,both,(@whrvfm),,Twitter
627,Virginia,Norfolk,Norfolk,WHRV,FM,89.5,both,(@hot91),,Twitter
628,Virginia,Norfolk,,WNSB,FM,91.1,left_only,(@wcve),,Twitter
629,Virginia,Richmond,Richmond,WCVE,FM,88.9,both,(@WVFTRADIOIQ),,Twitter
630,Virginia,Roanoke,Roanoke,WVTF,FM,89.1,both,(@Uva_Wise),,Twitter
631,Virginia,Wise,Wise,WISE,FM,90.5,both,None,,Twitter
632,Washington,Bellingham,Bellingham,KZAZ,FM,91.7,both,(@KCBS),,Twitter
633,Washington,Bellevue,,KBCS,FM,91.3,left_only,(@radio905),,Twitter
634,Washington,Clarkston,Clarkston,KNWV,FM,90.5,both,None,,Twitter
635,Washington,Ellensburg,Ellensburg,KNWR,FM,90.7,both,None,,Twitter
636,Washington,Moses Lake,Moses Lake,KLWS,FM,91.5,both,None,,Twitter
637,Washington,Omak,Omak,KQWS,FM,90.1,both,None,,Twitter
638,Washington,Port Angeles,Port Angeles,KNWP,FM,90.1,both,None,,Twitter
639,Washington,Pullman,Pullman,KWSU,AM,1250.0,both,None,,Twitter
640,Washington,Pullman,,KRFA,FM,91.7,left_only,None,,Twitter
641,Washington,Richland,Richland,KFAE,FM,89.1,both,(@kexp),,Twitter
642,Washington,Seattle,Seattle,KEXP,FM,90.3,both,(@KUOW),,Twitter
643,Washington,Seattle,Seattle,KUOW,FM,94.9,both,None,,Twitter
