State,Agency Type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,,Cupertino,2,1,0,0,0,0,0,0,3,0,"60,948"
California,,Danville,0,1,0,0,0,0,1,0,0,0,"44,897"
California,,Davis,5,1,1,0,0,1,2,0,1,5,"68,087"
California,,Desert Hot Springs,0,0,1,0,0,0,0,1,0,0,"28,573"
California,,Downey,1,0,0,0,0,0,0,1,0,0,"114,704"
California,,East Palo Alto,0,0,1,0,0,0,0,0,0,1,"29,957"
California,,Eastvale,0,1,0,0,0,0,0,1,0,0,"60,115"
California,,Elk Grove,1,0,0,0,0,0,1,0,0,0,"169,742"
California,,El Segundo,2,0,0,0,0,0,1,0,1,0,"17,113"
California,,Encinitas,1,0,0,0,0,0,0,0,0,1,"63,597"
California,,Escondido,1,0,0,0,0,0,0,1,0,0,"152,897"
California,,Fairfield,1,1,1,0,0,0,2,0,1,0,"114,521"
California,,Farmersville,0,1,0,0,0,0,0,0,1,0,"10,812"
California,,Folsom,0,1,0,0,0,0,0,1,0,0,"77,245"
California,,Fort Bragg,1,1,1,0,0,0,0,2,1,0,"7,292"
California,,Fremont,1,0,0,0,0,0,1,0,0,0,"235,881"
California,,Fresno,7,3,3,0,0,0,3,3,4,3,"524,796"
California,,Fullerton,1,0,1,0,0,0,1,0,0,1,"141,968"
California,,Garden Grove,1,1,0,0,0,0,1,0,0,1,"176,230"
California,,Glendale,1,1,0,0,0,0,0,1,0,1,"202,903"
California,,Hanford,0,1,0,0,0,0,0,1,0,0,"55,973"
California,,Hawaiian Gardens,0,0,0,0,0,1,0,1,0,0,"14,654"
California,,Hawthorne,0,1,0,0,0,0,0,0,0,1,"89,299"
California,,Hayward,1,1,0,0,0,0,0,0,1,1,"161,122"
California,,Highland,1,0,0,0,0,0,0,0,1,0,"55,184"
California,,Hollister,0,0,1,0,0,0,0,0,1,0,"37,953"
California,,Huntington Beach,3,3,0,0,0,0,1,1,3,1,"204,071"
California,,Huntington Park,0,0,1,0,0,0,1,0,0,0,"59,692"
California,,Irvine,2,0,0,0,0,0,1,0,0,1,"266,663"
California,,Jurupa Valley,1,0,0,0,0,0,0,1,0,0,"101,316"
California,,Kingsburg,1,0,0,0,0,0,1,0,0,0,"11,905"
California,,Laguna Beach,1,0,0,0,0,0,0,0,0,1,"23,486"
California,,La Habra,1,0,0,0,0,0,0,1,0,0,"62,483"
California,,Lake Elsinore,1,0,1,0,0,0,1,1,0,0,"63,907"
California,,Lakewood,3,0,1,0,0,0,2,0,1,1,"81,921"
California,,La Mesa,2,1,0,0,0,0,0,0,1,2,"60,681"
California,,La Mirada,0,2,0,0,0,0,0,2,0,0,"49,715"
California,,Lancaster,5,0,2,0,0,1,1,4,1,2,"161,963"
California,,La Puente,0,0,1,0,0,0,1,0,0,0,"40,928"
California,,Loma Linda,1,0,0,0,0,0,0,1,0,0,"24,190"
California,,Long Beach,2,2,3,0,0,1,2,0,3,3,"476,476"
California,,Los Angeles,112,43,58,0,1,13,55,56,52,64,"4,007,905"
California,,Malibu,2,0,0,0,0,0,1,0,0,1,"13,030"
California,,Mammoth Lakes,1,0,0,0,0,0,0,1,0,0,"7,891"
California,,Manteca,5,0,0,0,0,0,1,1,3,0,"77,104"
California,,Merced,0,0,1,0,0,1,0,0,1,1,"83,106"
California,,Modesto,6,4,1,0,0,0,2,4,2,3,"212,880"
California,,Montclair,1,1,0,0,0,0,0,1,0,1,"39,085"
California,,Monterey,1,0,0,0,0,0,0,0,0,1,"28,506"
California,,Mountain View,0,1,0,0,0,0,1,0,0,0,"81,726"
California,,Murrieta,0,0,0,0,1,0,0,0,0,1,"111,043"
California,,Napa,0,0,1,0,0,0,0,0,0,1,"81,115"
California,,National City,1,0,0,0,0,0,1,0,0,0,"61,550"
California,,Newark,1,0,0,0,0,0,0,1,0,0,"45,893"
