,State,City,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Latitude,Longitude
132,Michigan,Berrien Springs,WAUS,FM,90.7,@wausfm,,41.9464342,-86.338905
134,Michigan,Houghton,WGGL,FM,91.1,@mprnews,,47.12113309999999,-88.5694182
135,Michigan,Mackinaw City,WIAB,FM,88.5,@IPRNewsRadio,,45.7774987,-84.72714649999999
136,Michigan,Manistee,WLMN,FM,89.7,@IPRNewsRadio,,44.2444473,-86.324253
137,Minnesota,Appleton,KRSU,FM,91.3,@rsuradio,,45.1991667,-96.0244443
138,Minnesota,Austin,KNSE,FM,90.1,@mpr,,43.6666296,-92.97463669999999
139,Minnesota,Bemidji,KCRB,FM,88.5,@mpr,,47.471573,-94.8826861
140,Minnesota,Brainerd,KBPN,FM,88.3,@mpr,,46.3526733,-94.2020084
141,Minnesota,St. Cloud,KSJR,FM,90.1,@mpr,,45.5579451,-94.16324039999999
142,Minnesota,Duluth,KUMD,FM,103.3,@kumd1033fm,,46.78667189999999,-92.1004852
143,Minnesota,Duluth,WSCD,FM,92.9,@mpr,,46.78667189999999,-92.1004852
144,Minnesota,Fergus Falls,KCMF,FM,89.7,@mpr,,46.2835212,-96.0777887
145,Minnesota,Fergus Falls,KNWF,FM,91.5,@mpr,,46.2835212,-96.0777887
147,Minnesota,Grand Marais,WMLS,FM,88.7,@classicalmpr,,47.7504469,-90.3342727
148,Minnesota,Grand Marais,WTIP,FM,90.7,@wtipradio,,47.7504469,-90.3342727
149,Minnesota,Grand Portage,WGPO,FM,90.1,@wtipradio,,47.9637433,-89.68487119999999
150,Minnesota,Hinckley,WGRH,FM,88.5,@mpr,,46.015,-92.9388889
151,Minnesota,International Falls,KITF,FM,88.3,@mpr,,48.6023149,-93.4040679
152,Minnesota,Mankato,KMSU,FM,89.7,@kmsutwitter,,44.1635775,-93.99939959999999
153,Minnesota,Minneapolis,KBEM,FM,88.5,@kbemfm,,44.977753,-93.2650108
154,Minnesota,Minneapolis,KFAI,FM,90.3,@kfainews,,44.977753,-93.2650108
155,Minnesota,Moorhead,KCCM,FM,91.1,@mpr,,46.8737648,-96.76780389999999
156,Minnesota,"St. Paul Minneapolis, Minnesota",KCMP,FM,89.3,@kcmpnews,,44.9537029,-93.0899578
157,Minnesota,Redwood Falls,KRFI,FM,88.1,@mpr,,44.5394039,-95.1169424
158,Minnesota,Rochester,KLSE,FM,90.7,@mpr,,44.0121221,-92.4801989
159,Minnesota,Rochester,KZSE,FM,91.7,@mpr,,44.0121221,-92.4801989
161,Minnesota,Minneapolis,KSJN,FM,99.5,@mpr,,44.977753,-93.2650108
162,Minnesota,Mankato,KGAC,FM,90.5,@mpr,,44.1635775,-93.99939959999999
163,Minnesota,Thief River Falls,KQMN,FM,91.5,@mpr,,48.1191353,-96.18114729999999
164,Minnesota,Hibbing,WIRR,FM,90.9,@mpr,,47.42715459999999,-92.9376887
166,Mississippi,Booneville,WMAE,FM,89.5,@mpbonline,,34.6581596,-88.5667036
167,Mississippi,Bude,WMAU,FM,88.9,@mpbonline,,31.4629491,-90.8501014
169,Mississippi,Holly Springs,WURC,FM,88.1,@wurc881,,34.76759670000001,-89.44868939999999
170,Mississippi,Jackson,WJSU,FM,88.5,@wjsu885,,32.2987573,-90.1848103
171,Mississippi,Mississippi State,WMAB,FM,89.9,@mpbonline,,33.4555279,-88.7903868
173,Mississippi,Starkville,WMSV,FM,91.1,@msuradio_wmsv,,33.4503998,-88.81838719999999
174,Missouri,Branson,KSMS,FM,90.5,@ksmu,,36.6436731,-93.21851439999999
175,Missouri,Chillicothe,KRNW,FM,88.9,@kxcvkrnw,,39.7952946,-93.5524358
176,Missouri,Springfield,KSMU,FM,91.1,@ksmu,,37.2089572,-93.29229889999999
177,Missouri,St. Louis,KWMU,FM,90.7,@stlpublicradio,,38.6270025,-90.19940419999999
178,Missouri,Warrensburg,KTBG,FM,90.9,@909thebridge,,38.7627893,-93.73604979999999
180,Missouri,Rolla,KMST,FM,88.5,@stlpublicradio,,37.948544,-91.7715303
182,Missouri,West Plains,KSMW,FM,90.9,@ksmu,,36.7281154,-91.8523711
183,Montana,Bozeman,KGLT,FM,91.9,@kgltfm,,45.6769979,-111.0429339
187,Nebraska,Omaha,KIOS,FM,91.5,@kiosomaha,,41.2565369,-95.9345034
188,Nebraska,Lincoln,KZUM,FM,89.3,@kzumradio,,40.813616,-96.7025955
189,Nevada,Elko,KNCC,FM,91.5,@renopublicradio,,40.8324211,-115.7631232
190,Nevada,Las Vegas,KUNV,FM,91.5,@kunvradio,,36.1699412,-115.1398296
193,Nevada,Reno,KUNR,FM,88.7,@renopublicradio,,39.5296329,-119.8138027
195,Nevada,Las Vegas,KNPR,FM,89.5,@knprnews,,36.1699412,-115.1398296
197,Nevada,Las Vegas,KCNV,FM,89.7,@knprnews,,36.1699412,-115.1398296
198,Nevada,Las Vegas,KNPR,FM,88.9,@knprnews,,36.1699412,-115.1398296
200,New Hampshire,Concord,WEVO,FM,89.1,@nhpr,,43.2081366,-71.5375718
203,New Hampshire,Keene,WEVN,FM,90.7,@nhpr,,42.933692,-72.2781409
204,New Hampshire,Jackson,WEVJ,FM,99.5,@nhpr,,44.1462613,-71.1850996
206,New Jersey,Atlantic City,WNJN,FM,89.7,@njtvnews,,,
210,New Jersey,Lincroft,WBJB,FM,90.5,@wbjb,,40.3306656,-74.1209748
212,New Jersey,Newark,WBGO,FM,88.3,@wbgo,,40.735657,-74.1723667
215,New Jersey,Hackettstown,WNTI,FM,91.9,@centenary_nj,,40.8539879,-74.8290555
216,New Jersey,Atlantic City,WRTQ,FM,91.3,@wrtimusic,,,
219,New Mexico,Albuquerque,KANW,FM,89.1,@kanwfm,,35.0843859,-106.650422
220,New Mexico,Albuquerque,KUNM,FM,89.9,@kunmnews,,35.0843859,-106.650422
221,New Mexico,Gallup,KGLP,FM,91.7,@KGLPradio,,35.5280783,-108.7425843
222,New Mexico,Las Cruces,KRWG,FM,90.7,@krwg,,32.3199396,-106.7636538
223,New Mexico,Maljamar,KMTH,FM,98.7,@KENWpublicmedia,,32.8562301,-103.7627277
224,New Mexico,Portales,KENW,FM,89.5,@KENWpublicmedia,,34.1861922,-103.3343978
226,New Mexico,Magdalena,KABR,AM,1500.0,@kabrradio,,34.1167305,-107.2439251
230,New York,Albany,WAMC,FM,90.3,@WAMCradio,,42.6525793,-73.7562317
231,New York,Binghamton,WSKG,FM,89.3,@WSKG,,42.09868669999999,-75.91797380000001
232,New York,Binghamton,WSQX,FM,91.5,@WSKG,,42.09868669999999,-75.91797380000001
235,New York,Brookville,WCWP,FM,88.1,@wcwpsports,,40.8131553,-73.5673482
236,New York,Buffalo,WBFO,FM,88.7,@wbfo,,42.88644679999999,-78.8783689
238,New York,Canton,WSLU,FM,89.5,@ncpr,,44.5956163,-75.1690942
241,New York,Ithaca,WSQG,FM,90.9,@wskg,,42.4439614,-76.5018807
242,New York,Jamestown,WUBJ,FM,88.1,@wbfo,,42.0970023,-79.23532589999999
243,New York,Jeffersonville,WJFF,FM,90.5,@wjffradio,,41.7809217,-74.9337755
247,New York,New York City,WFUV,FM,90.7,@wfuv,,40.7127753,-74.0059728
248,New York,New York City,WNYC,AM,820.0,@wnyc,,40.7127753,-74.0059728
249,New York,New York City,WNYC,FM,93.9,@wnyc,,40.7127753,-74.0059728
251,New York,Olean,WOLN,FM,91.3,@wbfo,,42.083639,-78.42992699999999
253,New York,Oswego,WRVO,FM,89.9,@WRVO,,43.4553461,-76.5104973
