City,State,Station Identifier,AM/FM Number,AM/FM Number
St. Johnsbury,Vermont,WVPA,FM,88.5
Windsor,Vermont,WVPR,FM,89.5
Charlottesville,Virginia,WVTU,FM,89.3
Charlottesville,Virginia,WVTW,FM,88.5
Charlottesville,Virginia,WMRY,FM,103.5
Christiansburg,Virginia,WWVT,AM,1260
Farmville,Virginia,WMLU,FM,91.3
Harrisonburg,Virginia,WMRA,FM,90.7
Lexington,Virginia,WMRL,FM,89.9
Marion,Virginia,WVTR,FM,91.9
Norfolk,Virginia,WHRO,FM,90.3
Norfolk,Virginia,WHRV,FM,89.5
Norfolk,Virginia,WNSB,FM,91.1
Richmond,Virginia,WCVE,FM,88.9
Roanoke,Virginia,WVTF,FM,89.1
Wise,Virginia,WISE,FM,90.5
Bellingham,Washington,KZAZ,FM,91.7
Bellevue,Washington,KBCS,FM,91.3
Clarkston,Washington,KNWV,FM,90.5
Ellensburg,Washington,KNWR,FM,90.7
Moses Lake,Washington,KLWS,FM,91.5
Omak,Washington,KQWS,FM,90.1
Port Angeles,Washington,KNWP,FM,90.1
Pullman,Washington,KWSU,AM,1250
Pullman,Washington,KRFA,FM,91.7
Richland,Washington,KFAE,FM,89.1
Seattle,Washington,KEXP,FM,90.3
Seattle,Washington,KUOW,FM,94.9
Spokane,Washington,KPBX,FM,91.1
Spokane,Washington,KSFC,FM,91.9
Seattle/Tacoma,Washington,KPLU,FM,88.5
Walla Walla,Washington,KWWS,FM,89.7
Yakima,Washington,KDNA,FM,91.9
Yakima,Washington,KNWY,FM,90.3
Beckley,West Virginia,WVPB,FM,91.7
Buckhannon,West Virginia,WVPW,FM,88.9
Charleston,West Virginia,WVPN,FM,88.5
Huntington,West Virginia,WVWV,FM,89.9
Martinsburg,West Virginia,WVEP,FM,88.9
Morgantown,West Virginia,WVPM,FM,90.9
Parkersburg,West Virginia,WVPG,FM,90.3
Petersburg,West Virginia,WAUA,FM,89.5
Wheeling,West Virginia,WVNP,FM,89.9
Appleton,Wisconsin,WLFM,FM,91.1
Auburndale,Wisconsin,WLBL,AM,930
Brule,Wisconsin,WHSA,FM,89.9
Delafield,Wisconsin,WHAD,FM,90.7
Eau Claire,Wisconsin,WUEC,FM,89.7
Green Bay,Wisconsin,WHID,FM,88.1
Green Bay,Wisconsin,WPNE,FM,89.3
Hayward,Wisconsin,WOJB,FM,88.9
Highland,Wisconsin,WHHI,FM,91.3
Kenosha,Wisconsin,WGTD,FM,91.1
La Crosse,Wisconsin,WHLA,FM,90.3
La Crosse,Wisconsin,WLSU,FM,88.9
Madison,Wisconsin,WERN,FM,88.7
Madison,Wisconsin,WHA,AM,970
Madison,Wisconsin,WSHS,FM,91.7
Menomonie,Wisconsin,WHWC,FM,88.3
Menomonie,Wisconsin,WVSS,FM,90.7
Milwaukee,Wisconsin,WUWM,FM,89.7
Oshkosh,Wisconsin,WRST,FM,90.3
Park Falls,Wisconsin,WHBM,FM,90.3
Rhinelander,Wisconsin,WXPR,FM,91.7
River Falls,Wisconsin,WRFW,FM,88.7
Sheboygan,Wisconsin,WSHS,FM,91.7
Sister Bay,Wisconsin,WHDI,FM,91.1
Sister Bay,Wisconsin,WHND,FM,89.7
Superior,Wisconsin,KUWS,FM,91.3
Wausau,Wisconsin,WHRM,FM,90.9
Wausau,Wisconsin,WLBL,FM,91.9
Wausau,Wisconsin,WXPW,FM,91.9
Afton,Wyoming,KUWA,FM,91.3
Buffalo,Wyoming,KBUW,FM,90.5
Casper,Wyoming,KUWC,FM,91.3
Douglas,Wyoming,KDUW,FM,91.7
Gillette,Wyoming,KUWG,FM,90.9
Jackson,Wyoming,KUWJ,FM,90.3
Laramie,Wyoming,KUWR,FM,91.9
Newcastle,Wyoming,KUWN,FM,90.5
Pinedale,Wyoming,KUWX,FM,90.9
Powell,Wyoming,KUWP,FM,90.1
Rock Springs,Wyoming,KUWZ,FM,90.5
Sheridan,Wyoming,KSUW,FM,91.3
Sundance,Wyoming,KUWD,FM,91.5
Thermopolis,Wyoming,KUWT,FM,91.3
