,Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
399,936,Rhode Island,"Narragansett and southern RI, Block Island, Aquidneck Island, and parts of the East Bay","Narragansett and southern RI, Block Island, Aquidneck Island, and parts of the East Bay",WRNI,FM,102.7,@wrni,,Twitter,right_only,Emptyatload
400,562,South Carolina,Sumter,Sumter,WRJA,FM,88.1,@scetv,,Twitter,both,Emptyatload
403,565,South Dakota,Lowry,Lowry,KQSD,FM,91.9,@SoDakPB,,Twitter,both,Emptyatload
406,568,South Dakota,Rapid City,Rapid City,KBHE,FM,89.3,@SoDakPB,,Twitter,both,Emptyatload
408,570,South Dakota,Sioux Falls,Sioux Falls,KCSD,FM,90.9,@SoDakPB,,Twitter,both,Emptyatload
409,571,South Dakota,Vermillion,Vermillion,KUSD,FM,89.7,@SoDakPB,,Twitter,both,Emptyatload
410,937,South Dakota,Sioux Falls,Sioux Falls,KRSD,FM,88.1,@mpr,,Twitter,right_only,Emptyatload
411,573,Tennessee,Cookeville,Cookeville,WHRS,FM,91.7,@WPLN,,Twitter,both,Emptyatload
413,575,Tennessee,Jackson,Jackson,WKNP,FM,90.1,@wknofm,,Twitter,both,Emptyatload
414,938,Tennessee,Collegedale,Collegedale,WSMC,FM,90.5,@wsmcfm,,Twitter,right_only,Emptyatload
415,939,Tennessee,Nashville,Nashville,WFCL,FM,91.1,@WPLN,,Twitter,right_only,Emptyatload
416,595,Texas,Ingram,Ingram,KTXI,FM,90.1,@tprnews,,Twitter,both,Emptyatload
417,940,Texas,Abilene,Abilene,KACU,FM,89.5,@kacu895,,Twitter,right_only,Emptyatload
418,941,Texas,Amarillo,Amarillo,KJJP,FM,105.7,@hppr,,Twitter,right_only,Emptyatload
420,943,Texas,Commerce,Commerce,KETR,FM,88.9,@ketrradio,,Twitter,right_only,Emptyatload
422,945,Texas,Harlingen,Harlingen,KJJF,FM,88.9,@RGVpublicradio,,Twitter,right_only,Emptyatload
423,946,Texas,Houston,Houston,KTSU,FM,90.9,@officialktsu909,,Twitter,right_only,Emptyatload
424,947,Texas,Llano,Llano,KVHL,FM,91.7,@tprnews,,Twitter,right_only,Emptyatload
425,948,Texas,Lubbock,Lubbock,KTTZ,FM,89.1,@kttz,,Twitter,right_only,Emptyatload
426,949,Texas,Marfa,Marfa,KRTS,FM,93.5,@marfaradio,,Twitter,right_only,Emptyatload
427,950,Texas,Odessa,Odessa,KXWT,FM,91.3,@kxwt,,Twitter,right_only,Emptyatload
428,951,Texas,San Angelo,San Angelo,KNCH,FM,90.1,@kttz,,Twitter,right_only,Emptyatload
429,952,Texas,San Antonio,San Antonio,KPAC,FM,88.3,@tprclassical,,Twitter,right_only,Emptyatload
430,953,Texas,Sherman,Sherman,KERA,FM,99.3,@keratx,,Twitter,right_only,Emptyatload
431,954,Texas,Snyder,Snyder,KTPR,FM,89.9,@tprnews,,Twitter,right_only,Emptyatload
432,955,Texas,Spearman,Spearman,KTOT,FM,89.5,@hppr,,Twitter,right_only,Emptyatload
433,956,Texas,Stephenville,Stephenville,KTRL,FM,90.5,@ktrlradio,,Twitter,right_only,Emptyatload
434,957,Texas,Tyler,Tyler,KERA,FM,100.1,@keratx,,Twitter,right_only,Emptyatload
435,958,Texas,Wichita Falls,Wichita Falls,KMCU,FM,88.7,@kccuradio,,Twitter,right_only,Emptyatload
436,959,Texas,Wichita Falls,Wichita Falls,KERA,FM,88.3,@keratx,,Twitter,right_only,Emptyatload
437,960,Utah,Logan,Logan,KUSR,FM,89.5,@utahpublicradio,,Twitter,right_only,Emptyatload
439,962,Utah,Park City,Park City,KPCW,FM,91.7,@kpcwtwitter,,Twitter,right_only,Emptyatload
440,963,Utah,Price,Price,KCEU,FM,89.7,@TTBook,,Twitter,right_only,Emptyatload
441,964,Utah,Richfield,Richfield,KUSL,FM,89.3,@utahpublicradio,,Twitter,right_only,Emptyatload
442,965,Utah,St. George,St. George,KSGU,FM,90.3,@stgeorgechamber,,Twitter,right_only,Emptyatload
444,967,Vermont,Bristol,Bristol,WXLQ,FM,90.5,@ncpr,,Twitter,right_only,Emptyatload
445,968,Vermont,Colchester,Colchester,WVTX,FM,88.7,@vprnet,,Twitter,right_only,Emptyatload
446,969,Vermont,Norwich,Norwich,WNCH,FM,88.1,@vprnet,,Twitter,right_only,Emptyatload
450,973,Virginia,Hot Springs,Hot Springs,WCHG,FM,107.1,@mtnradio,,Twitter,right_only,Emptyatload
451,974,Virginia,Monterey,Monterey,WVLS,FM,89.7,@mtnradio,,Twitter,right_only,Emptyatload
452,647,Washington,Walla Walla,Walla Walla,KWWS,FM,89.7,@nwptv,,Twitter,both,Emptyatload
455,975,Washington,Chehalis,Chehalis,KSWS,FM,88.9,@nwptv,,Twitter,right_only,Emptyatload
459,979,Washington,Tacoma,Tacoma,KNKX,FM,88.5,@knkxfm,,Twitter,right_only,Emptyatload
460,980,Washington,Tumwater,Tumwater,KUOW,AM,1340.0,@kuow,,Twitter,right_only,Emptyatload
465,654,West Virginia,Martinsburg,Martinsburg,WVEP,FM,88.9,@wvpublic,,Twitter,both,Emptyatload
466,655,West Virginia,Morgantown,Morgantown,WVPM,FM,90.9,@wvpublic,,Twitter,both,Emptyatload
469,650,West Virginia,Beckley,,WVPB,FM,91.7,@wvpublic,,Twitter,left_only,Emptyatload
470,652,West Virginia,Charleston,,WVPN,FM,88.5,@wvpublic,,Twitter,left_only,Emptyatload
473,984,West Virginia,Charleston,Charleston,WVPB,FM,88.5,@wvpublic,,Twitter,right_only,Emptyatload
474,985,West Virginia,Frost,Frost,WVMR,AM,1370.0,@mtnradio,,Twitter,right_only,Emptyatload
477,661,Wisconsin,Brule,Brule,WHSA,FM,89.9,@wpr,,Twitter,both,Emptyatload
478,662,Wisconsin,Delafield,Delafield,WHAD,FM,90.7,@wpr,,Twitter,both,Emptyatload
479,663,Wisconsin,Eau Claire,Eau Claire,WUEC,FM,89.7,@wpr,,Twitter,both,Emptyatload
480,664,Wisconsin,Green Bay,Green Bay,WHID,FM,88.1,@wpr,,Twitter,both,Emptyatload
481,665,Wisconsin,Green Bay,Green Bay,WPNE,FM,89.3,@wispublictv,,Twitter,both,Emptyatload
482,666,Wisconsin,Hayward,Hayward,WOJB,FM,88.9,@wojb,,Twitter,both,Emptyatload
483,667,Wisconsin,Highland,Highland,WHHI,FM,91.3,@wpr,,Twitter,both,Emptyatload
486,670,Wisconsin,La Crosse,La Crosse,WLSU,FM,88.9,@wpr,,Twitter,both,Emptyatload
487,671,Wisconsin,Madison,Madison,WERN,FM,88.7,@wpr,,Twitter,both,Emptyatload
488,672,Wisconsin,Madison,Madison,WHA,AM,970.0,@wpr,,Twitter,both,Emptyatload
489,673,Wisconsin,Madison,Sheboygan,WSHS,FM,91.7,@wpr,,Twitter,both,Emptyatload
490,674,Wisconsin,Sheboygan,Sheboygan,WSHS,FM,91.7,@wpr,,Twitter,both,Emptyatload
491,675,Wisconsin,Menomonie,Menomonie,WHWC,FM,88.3,@wpr,,Twitter,both,Emptyatload
492,676,Wisconsin,Menomonie,Menomonie,WVSS,FM,90.7,@wpr,,Twitter,both,Emptyatload
493,677,Wisconsin,Milwaukee,Milwaukee,WUWM,FM,89.7,@wuwmradio,,Twitter,both,Emptyatload
494,678,Wisconsin,Oshkosh,Oshkosh,WRST,FM,90.3,@wrstfm,,Twitter,both,Emptyatload
495,679,Wisconsin,Park Falls,Park Falls,WHBM,FM,90.3,@wpr,,Twitter,both,Emptyatload
496,680,Wisconsin,Rhinelander,Rhinelander,WXPR,FM,91.7,@wxpr,,Twitter,both,Emptyatload
497,681,Wisconsin,River Falls,River Falls,WRFW,FM,88.7,@wrfwfm,,Twitter,both,Emptyatload
498,682,Wisconsin,Sister Bay,Sister Bay,WHDI,FM,91.1,@wpr,,Twitter,both,Emptyatload
499,683,Wisconsin,Sister Bay,Sister Bay,WHND,FM,89.7,@wpr,,Twitter,both,Emptyatload
500,684,Wisconsin,Superior,Superior,KUWS,FM,91.3,@wpr,,Twitter,both,Emptyatload
501,685,Wisconsin,Wausau,Wausau,WHRM,FM,90.9,@wpr,,Twitter,both,Emptyatload
502,686,Wisconsin,Wausau,Wausau,WLBL,FM,91.9,@wpr,,Twitter,both,Emptyatload
505,987,Wisconsin,Milwaukee,Milwaukee,WYMS,FM,88.9,@RadioMilwaukee,,Twitter,right_only,Emptyatload
506,688,Wyoming,Afton,Afton,KUWA,FM,91.3,@WYpublicradio,,Twitter,both,Emptyatload
507,689,Wyoming,Buffalo,Buffalo,KBUW,FM,90.5,@WYpublicradio,,Twitter,both,Emptyatload
508,690,Wyoming,Casper,Casper,KUWC,FM,91.3,@WYpublicradio,,Twitter,both,Emptyatload
510,692,Wyoming,Gillette,Gillette,KUWG,FM,90.9,@WYpublicradio,,Twitter,both,Emptyatload
511,693,Wyoming,Jackson,Jackson,KUWJ,FM,90.3,@WYpublicradio,,Twitter,both,Emptyatload
512,694,Wyoming,Laramie,Laramie,KUWR,FM,91.9,@WYpublicradio,,Twitter,both,Emptyatload
521,597,Texas,Lufkin,Lufkin,KLDN,FM,88.9,@881TheOne,,Twitter,both,
522,545,Pennsylvania,Pittsburgh,,WDUQ,FM,90.5,@905wesa,,Twitter,left_only,
523,484,Ohio,Cincinnati,Cincinnati,WGUC,FM,90.9,@909WGUC,,Twitter,both,
524,585,Texas,Beaumont,Beaumont,KVLU,FM,91.3,@913KVLU,,Twitter,both,
525,485,Ohio,Cincinnati,Cincinnati,WVXU,FM,91.7,@917wvxu,,Twitter,both,
526,627,Virginia,Norfolk,Norfolk,WHRV,FM,89.5,@hot91,,Twitter,both,
527,594,Texas,Houston,Houston,KUHF,FM,88.7,@HoustonPubMedia,@HoustonPubMedia,Twitter,both,
528,583,Texas,Abilene,,KACU,FM,89.7,@KACU895,,Twitter,left_only,
529,586,Texas,College Station,College Station,KAMU,FM,90.9,@KAMUTVFM,,Twitter,both,
530,632,Washington,Bellingham,Bellingham,KZAZ,FM,91.7,@KCBS,,Twitter,both,
531,509,Oklahoma,Lawton,Lawton,KCCU,FM,89.3,@KCCURadio,,Twitter,both,
532,607,Utah,Logan,Logan,KUSU,FM,91.5,@KCPW,,Twitter,both,
533,608,Utah,Salt Lake City,,KCPW,FM,88.3,@KCPWRadio,,Twitter,left_only,
534,587,Texas,College Station,College Station,KEOS,FM,89.1,@KEOSRADIO,,Twitter,both,
535,589,Texas,Dallas,Dallas-Fort Worth,KERA,FM,90.1,@keranews,(@keratx),Twitter,both,
536,590,Texas,Dallas,Denton,KERA,FM,90.1,@keratx,,Twitter,both,
537,641,Washington,Richland,Richland,KFAE,FM,89.1,@kexp,,Twitter,both,
538,510,Oklahoma,Norman,Norman,KGOU,FM,106.3,@kgounews,,Twitter,both,
539,523,Oregon,Eugene,Eugene,KLCC,FM,89.7,@KLCCEugeneOR,,Twitter,both,
540,526,Oregon,Gresham,Gresham,KMHD,FM,89.1,@KMHD_JAZZ_Radio,,Twitter,both,
541,591,Texas,Denton,Denton,KNTU,FM,88.1,@KNTU881,,Twitter,both,
542,512,Oklahoma,Stillwater,Stillwater,KOSU,FM,91.7,@KOSURadio,,Twitter,both,
543,645,Washington,Spokane,Spokane,KSFC,FM,91.9,@KPLUpr,,Twitter,both,
544,599,Texas,Odessa,,KOCV,FM,91.3,@KPVU913FM,,Twitter,left_only,
545,610,Utah,Salt Lake City,Salt Lake City,KUER,FM,90.1,@KRCLradio,,Twitter,both,
546,592,Texas,El Paso,El Paso,KTEP,FM,88.5,@ktep885fm,,Twitter,both,
547,609,Utah,Salt Lake City,,KPCW,FM,91.9,@KUER_FM,,Twitter,left_only,
548,642,Washington,Seattle,Seattle,KEXP,FM,90.3,@KUOW,,Twitter,both,
549,584,Texas,Austin,Austin,KUT,FM,90.5,@KUT,,Twitter,both,
550,600,Texas,Prairie View,Prairie View,KPVU,FM,91.3,@KUTX,,Twitter,both,
551,604,Texas,Victoria,Victoria,KVRT,FM,90.7,@KWBU,,Twitter,both,
552,513,Oklahoma,Tulsa,Tulsa,KWGS,FM,89.5,@KWGSNEWS,,Twitter,both,
553,593,Texas,Harlingen,,KMBH,FM,88.9,@PublicRadio88FM,,Twitter,left_only,
554,633,Washington,Bellevue,,KBCS,FM,91.3,@radio905,,Twitter,left_only,
555,550,Puerto Rico,Rio Piedras,Ro Piedras,WRTU,FM,89.7,@radioupr,,Twitter,both,
556,554,South Carolina,Aiken,Aiken,WLJK,FM,89.1,@SCPublicRadio,,Twitter,both,
557,555,South Carolina,Beaufort,Beaufort,WJWJ,FM,89.9,@SCPublicRadio,,Twitter,both,
558,556,South Carolina,Charleston,Charleston,WSCI,FM,89.3,@SCPublicRadio,,Twitter,both,
559,557,South Carolina,Columbia,Columbia,WLTR,FM,91.3,@SCPublicRadio,,Twitter,both,
560,558,South Carolina,Conway,Conway,WHMC,FM,90.1,@SCPublicRadio,,Twitter,both,
561,559,South Carolina,Greenville,Greenville,WEPR,FM,90.1,@SCPublicRadio,,Twitter,both,
562,560,South Carolina,Orangeburg,Orangeburg,WSSB,FM,90.3,@SCPublicRadio,,Twitter,both,
563,561,South Carolina,Rock Hill,Rock Hill,WNSC,FM,88.9,@SCPublicRadio,,Twitter,both,
564,630,Virginia,Roanoke,Roanoke,WVTF,FM,89.1,@Uva_Wise,,Twitter,both,
565,487,Ohio,Columbus,Columbus,WCBE,FM,90.5,@WCBE905Columbus,,Twitter,both,
566,486,Ohio,Cleveland,Cleveland,WCPN,FM,90.3,@WCPN,,Twitter,both,
567,628,Virginia,Norfolk,,WNSB,FM,91.1,@wcve,,Twitter,left_only,
568,533,Pennsylvania,Allentown,Allentown,WDIY,FM,88.1,@WDIYFM,,Twitter,both,
569,576,Tennessee,Johnson City,Johnson City,WETS,FM,89.5,@WETSFM,,Twitter,both,
570,625,Virginia,Marion,Marion,WVTR,FM,91.9,@WHRO,,Twitter,both,
571,626,Virginia,Norfolk,Norfolk,WHRO,FM,90.3,@whrvfm,,Twitter,both,
572,542,Pennsylvania,Philadelphia,Philadelphia,WHYY,FM,90.9,@whyy,,Twitter,both,
573,535,Pennsylvania,Harrisburg,Harrisburg,WITF,FM,89.5,@WITF,,Twitter,both,
574,579,Tennessee,Memphis,Memphis,WKNO,FM,91.1,@WKNOFM,,Twitter,both,
575,493,Ohio,Kent,Kent,WKSU,FM,89.7,@WKSU,,Twitter,both,
576,612,US Virgin Islands,St. Thomas,,WVGN,FM,107.3,@WKUF943,,Twitter,left_only,
577,621,Virginia,Christiansburg,Christiansburg,WWVT,AM,1260.0,@WMLUradio,,Twitter,both,
578,580,Tennessee,Murfreesboro,Murfreesboro,WMOT,FM,89.5,@WMOT,,Twitter,both,
579,622,Virginia,Farmville,Farmville,WMLU,FM,91.3,@WMRAPublicRadio,,Twitter,both,
580,551,Puerto Rico,San Juan,,WOSO,AM,1030.0,@WOSO1030AM,,Twitter,left_only,
581,488,Ohio,Columbus,,WOSU,AM,820.0,@WOSU,,Twitter,left_only,
582,481,Ohio,Cambridge,Cambridge,WOUC,FM,89.1,@wouc,,Twitter,both,
583,578,Tennessee,Madison,Madison,WPLN,AM,1430.0,@WPLN,,Twitter,both,
584,581,Tennessee,Nashville,Nashville,WPLN,FM,90.3,@WPLN,,Twitter,both,
585,549,Pennsylvania,State College,State College,WPSU,FM,91.5,@WPSU,,Twitter,both,
586,539,Pennsylvania,Johnstown,Johnstown,WQEJ,FM,89.7,@wqed,,Twitter,both,
587,546,Pennsylvania,Pittsburgh,Pittsburgh,WQED,FM,89.3,@WQEDFM,,Twitter,both,
588,534,Pennsylvania,Erie,Erie,WQLN,FM,91.3,@WQLN,,Twitter,both,
589,543,Pennsylvania,Philadelphia,Philadelphia,WRTI,FM,90.1,@WRTImusic,,Twitter,both,
590,613,Vermont,Bennington,Bennington,WBTN,FM,94.3,@WRUVFM,,Twitter,both,
591,577,Tennessee,Knoxville,Knoxville,WUOT,FM,91.9,@WUOTFM,,Twitter,both,
592,572,Tennessee,Chattanooga,Chattanooga,WUTC,FM,88.1,@WUTC_FM,,Twitter,both,
593,629,Virginia,Richmond,Richmond,WCVE,FM,88.9,@WVFTRADIOIQ,,Twitter,both,
594,548,Pennsylvania,Scranton,Scranton,WVIA,FM,89.9,@WVIATVFM,,Twitter,both,
595,544,Pennsylvania,Philadelphia,Philadelphia,WXPN,FM,88.5,@wxpnfm,,Twitter,both,
596,547,Pennsylvania,Pittsburgh,Pittsburgh,WYEP,FM,91.3,@WYEP,,Twitter,both,
597,505,Ohio,Yellow Springs,Yellow Springs,WYSO,FM,91.3,@WYSO,,Twitter,both,
598,506,Ohio,Youngstown,Youngstown,WYSU,FM,88.5,@WYSU,,Twitter,both,
599,588,Texas,Corpus Christi,Corpus Christi,KEDT,FM,90.3,@YourKEDT,,Twitter,both,
600,66,California,Northridge,Northridge,KCSN,FM,88.5,@885fmsocal,,Twitter,both,
601,246,Kentucky,Richmond,Richmond,WEKU,FM,88.9,@889weku,,Twitter,both,
602,28,Alaska,McGrath,,KSKO,AM,870.0,@89point5_KSKO,,Twitter,left_only,
603,68,California,Pacific Grove,Seaside,KAZU,FM,90.3,@903kazu,,Twitter,both,
604,54,California,Arcata,Arcata,KHSU,FM,90.5,@905khsu,,Twitter,both,
605,203,Indiana,Goshen,,WGCS,FM,91.1,@911TheGlobe,,Twitter,left_only,
606,9,Alabama,Muscle Shoals,Muscle Shoals,WQPR,FM,88.7,@Alpublicradio,,Twitter,both,
607,10,Alabama,Selma,Selma,WAPR,FM,88.3,@Alpublicradio,,Twitter,both,
608,11,Alabama,Tuscaloosa,Tuscaloosa,WUAL,FM,91.5,@Alpublicradio,,Twitter,both,
609,95,Colorado,Aspen,Aspen,KAJX,FM,91.5,@aspenpubradio,,Twitter,both,
610,44,Arizona,Tucson,Tucson,KUAZ,AM,1550.0,@azpm,,Twitter,both,
611,45,Arizona,Tucson,Tucson,KUAZ,FM,89.1,@azpm,,Twitter,both,
612,36,Arizona,Flagstaff,Flagstaff,KPUB,FM,91.7,@AZPubRadio,,Twitter,both,
613,37,Arizona,Flagstaff,Flagstaff,KNAU,FM,88.7,@AZPubRadio,,Twitter,both,
614,38,Arizona,Grand Canyon,Grand Canyon,KNAG,FM,90.3,@AZPubRadio,,Twitter,both,
615,42,Arizona,Prescott,Prescott,KNAQ,FM,89.3,@AZPubRadio,,Twitter,both,
616,43,Arizona,Show Low,Show Low,KNAA,FM,90.7,@AZPubRadio,,Twitter,both,
617,175,Idaho,Twin Falls,Twin Falls,KBSW,FM,91.7,@BSX915,,Twitter,both,
618,173,Idaho,Rexburg,Rexburg,KBYI,FM,100.5,@byuidahoradio,,Twitter,both,
619,88,California,Stockton,Sacramento,KUOP,FM,91.3,@capradionews,,Twitter,both,
620,89,California,Tahoe City,Tahoe City,KKTO,FM,90.5,@capradionews,,Twitter,both,
621,74,California,Sacramento,,KXJZ,FM,88.9,@capradionews,,Twitter,left_only,
622,75,California,Sacramento,,KXPR,FM,90.9,@capradionews,,Twitter,left_only,
623,63,California,Los Angeles,Los Angeles,KUSC,FM,91.5,@classicalkusc,,Twitter,both,
624,83,California,Santa Barbara,,KFAC,FM,88.7,@Classicalkusc,,Twitter,left_only,
625,179,Illinois,DeKalb,,WNIU,FM,90.5,@classicalwniu,,Twitter,left_only,
626,96,Colorado,Boulder,Boulder,KCFC,AM,1490.0,@copublicradio,,Twitter,both,
627,108,Colorado,Montrose,Montrose,KPRH,FM,88.3,@copublicradio,,Twitter,both,
628,111,Colorado,Pueblo,Pueblo,KCFP,FM,91.9,@copublicradio,,Twitter,both,
629,112,Colorado,Pueblo,Pueblo,KKPC,AM,1230.0,@copublicradio,,Twitter,both,
630,114,Colorado,Vail,Vail,KPRE,FM,89.9,@copublicradio,,Twitter,both,
631,101,Colorado,Delta,Delta,KPRU,FM,103.3,@cprclassical,,Twitter,both,
632,102,Colorado,Denver,,KCFR,AM,1340.0,@cprclassical,,Twitter,left_only,
633,104,Colorado,Denver,,KVOD,FM,90.1,@cprclassical,,Twitter,left_only,
634,159,Georgia,Warm Springs,Warm Springs,WJSP,FM,88.1,@gpbnewmedia,,Twitter,both,
635,148,Georgia,Augusta,Augusta,WACG,FM,90.7,@gpbradioaugusta,,Twitter,both,
636,156,Georgia,Savannah,Savannah,WSVH,FM,91.1,@gpbsavannah,,Twitter,both,
637,157,Georgia,Tifton,Tifton,WABR,FM,91.1,@gpbsavannah,,Twitter,both,
638,226,Kansas,Garden City,Garden City,KANZ,FM,91.1,@hppr,,Twitter,both,
639,228,Kansas,Hill City,Hill City,KZNA,FM,90.5,@hppr,,Twitter,both,
640,198,Indiana,Anderson,Anderson,WBSB,FM,89.5,@INPublicRadio,,Twitter,both,
641,204,Indiana,Hagerstown,Hagerstown,WBSH,FM,91.1,@INPublicRadio,,Twitter,both,
642,207,Indiana,Marion,Marion,WBSW,FM,90.9,@INPublicRadio,,Twitter,both,
643,208,Indiana,Muncie,Muncie,WBST,FM,92.1,@INPublicRadio,,Twitter,both,
644,211,Indiana,Portland,Portland,WBSJ,FM,91.7,@INpublicradio,,Twitter,both,
645,214,Iowa,Ames,Ames,WOI,AM,640.0,@iowapublicradio,,Twitter,both,
646,215,Iowa,Ames,Ames,WOI,FM,90.1,@iowapublicradio,,Twitter,both,
647,216,Iowa,Cedar Falls,Cedar Falls,KUNI,FM,90.9,@iowapublicradio,,Twitter,both,
648,220,Iowa,Iowa City,Iowa City,WSUI,AM,910.0,@iowapublicradio,,Twitter,both,
649,221,Iowa,Iowa City,Iowa City,KSUI,FM,91.7,@iowapublicradio,,Twitter,both,
650,222,Iowa,Mason City,Mason City,KRNI,AM,1010.0,@iowapublicradio,,Twitter,both,
651,299,Michigan,Interlochen,Interlochen,WIAA,FM,88.7,@IPRNewsRadio,,Twitter,both,
652,311,Michigan,Traverse City,Traverse City,WICA,FM,91.5,@iprnewsradio,,Twitter,both,
653,217,Iowa,Cedar Rapids,Cedar Rapids,KCCK,FM,88.3,@jazz883kcck,,Twitter,both,
654,146,Georgia,Atlanta,Atlanta,WCLK,FM,91.9,@Jazz919WCLKatl,,Twitter,both,
655,79,California,San Francisco,San Francisco,KALW,FM,91.7,@kalw,,Twitter,both,
656,51,Arkansas,Jonesboro,Jonesboro,KASU,FM,91.9,@kasuradio,,Twitter,both,
657,48,Arizona,Yuma,Yuma,KAWC,FM,88.9,@kawc,,Twitter,both,
658,47,Arizona,Yuma,,KAWC,AM,1320.0,@kawc,,Twitter,left_only,
659,321,Minnesota,Grand Rapids,Grand Rapids,KAXE,FM,91.7,@KAXE,,Twitter,both,
660,40,Arizona,Phoenix,Phoenix,KBAQ,FM,89.5,@kbaq,,Twitter,both,
661,22,Alaska,Homer,Homer,KBBI,AM,890.0,@KBBINews,,Twitter,both,
662,346,Missouri,Columbia,Columbia,KBIA,FM,91.3,@kbia,,Twitter,both,
663,355,Montana,Bozeman,Bozeman,KBMC,FM,102.1,@kbmc,,Twitter,both,
664,166,Idaho,Boise,Boise,KBSU,FM,90.3,@kbsu903,,Twitter,both,
665,165,Idaho,Boise,,KBSU,AM,730.0,@kbsu903,,Twitter,left_only,
666,167,Idaho,Boise,Boise,KBSX,FM,91.5,@kbsx915,,Twitter,both,
667,170,Idaho,McCall,McCall,KBSM,FM,91.7,@KBSX915,,Twitter,both,
668,100,Colorado,Crested Butte,Crested Butte,KBUT,FM,90.3,@kbutradio,,Twitter,both,
669,81,California,San Luis Obispo,San Luis Obispo,KCBX,FM,90.1,@kcbxfm,,Twitter,both,
670,27,Alaska,McCarthy,McCarthy,KXKM,FM,89.7,@kchuradio,,Twitter,both,
671,34,Alaska,Valdez,Valdez,KCHU,AM,770.0,@kchuradio,,Twitter,both,
672,90,California,Thousand Oaks,Thousand Oaks,KCLU,FM,88.3,@kclulive,,Twitter,both,
673,61,California,Indio,Indio,KCRI,FM,89.3,@kcrw,,Twitter,both,
674,67,California,Oxnard,Oxnard,KCRU,FM,89.1,@kcrw,,Twitter,both,
675,85,California,Santa Monica,Los Angeles,KCRW,FM,89.9,@kcrw,,Twitter,both,
676,86,California,Santa Monica,Santa Monica,KCRW,FM,89.9,@kcrw,,Twitter,both,
677,82,California,San Mateo,San Mateo,KCSM,FM,91.1,@kcsmjazz91,,Twitter,both,
678,348,Missouri,Kansas City,Kansas City,KCUR,FM,89.3,@kcur,,Twitter,both,
679,17,Alaska,Dillingham,Dillingham,KDLG,AM,670.0,@kdlgradio,,Twitter,both,
680,97,Colorado,Carbondale,,KDNK,FM,90.5,@kdnkradio,,Twitter,left_only,
681,252,Louisana,Monroe,,KEDM,FM,90.3,@kedmpublicradio,,Twitter,left_only,
682,354,Montana,Billings,Billings,KEMC,FM,91.7,@kemc,,Twitter,both,
683,29,Alaska,Petersburg,Petersburg,KFSK,FM,100.9,@KFSK1,,Twitter,both,
684,21,Alaska,Haines,Haines,KHNS,FM,102.3,@KHNS_FM,,Twitter,both,
685,62,California,Long Beach,,KKJZ,FM,88.1,@kjazz881,,Twitter,left_only,
686,41,Arizona,Phoenix,Phoenix,KJZZ,FM,91.5,@kjzzphoenix,,Twitter,both,
687,233,Kansas,Wichita,Wichita,KMUW,FM,89.1,@kmuw,,Twitter,both,
688,26,Alaska,Kodiak,Kodiak,KMXT,FM,100.1,@kmxtnews,,Twitter,both,
689,360,Montana,Havre,,KNMC,FM,90.1,@KNMCradio,,Twitter,left_only,
690,347,Missouri,Columbia,Columbia,KOPN,FM,89.5,@kopnfm,,Twitter,both,
691,113,Colorado,Telluride,Telluride,KOTO,FM,91.7,@koto_radio,,Twitter,both,
692,78,California,San Diego,San Diego,KPBS,FM,89.5,@kpbsnews,,Twitter,both,
693,70,California,Pasadena,Los Angeles,KPCC,FM,89.3,@kpcc,,Twitter,both,
694,71,California,Pasadena,Pasadena,KPCC,FM,89.3,@kpcc,,Twitter,both,
695,65,California,North Hollywood,,KPFK,FM,90.7,@KPFK,,Twitter,left_only,
696,161,Guam,Agana,,KPRG,FM,89.3,@kprgfm,,Twitter,left_only,
697,225,Kansas,Emporia,Emporia,KANH,FM,89.7,@kprnews,,Twitter,both,
698,230,Kansas,Lawrence,Lawrence,KANU,FM,91.5,@kprnews,,Twitter,both,
699,80,California,San Francisco,San Francisco,KQED,FM,88.5,@kqed,,Twitter,both,
700,25,Alaska,Ketchikan,Ketchikan,KRBD,FM,105.9,@KRBDRadio,,Twitter,both,
701,87,California,Santa Rosa,Santa Rosa,KRCB,FM,91.1,@krcbtv22,,Twitter,both,
702,98,Colorado,Colorado Springs,Colorado Springs,KRCC,FM,91.5,@krcc,,Twitter,both,
703,344,Missouri,Cape Girardeau,Cape Girardeau,KRCU,FM,90.9,@krcufm,,Twitter,both,
704,231,Kansas,Pittsburg,Pittsburg,KRPS,FM,89.9,@krps899,,Twitter,both,
705,251,Louisana,Lafayette,,KRVS,FM,88.7,@krvsmedia,,Twitter,left_only,
706,94,Colorado,Alamosa,Alamosa,KRZA,FM,88.7,@krzaradio,,Twitter,both,
707,99,Colorado,Cortez,Cortez,KSJD,FM,91.5,@ksjdradio,,Twitter,both,
708,12,Alaska,Anchorage,Anchorage,KSKA,FM,91.1,@kska,,Twitter,both,
709,69,California,Palm Springs,Palm Springs,KPSC,FM,88.5,@kspc,,Twitter,both,
710,35,Alaska,Wrangell,Wrangell,KSTK,FM,101.7,@kstkradio,,Twitter,both,
711,107,Colorado,Ignacio,Ignacio,KSUT,FM,91.3,@ksut,,Twitter,both,
712,32,Alaska,Talkeetna,Talkeetna,KTNA,FM,88.5,@ktna,,Twitter,both,
713,23,Alaska,Juneau,Juneau,KTOO,FM,104.3,@KTOOpubmedia,,Twitter,both,
